Sample ID,SEC rt,SEC rt area,SEC rt peak height,SEC peak assymetry,SEC stability,AC-SINS diffC,AC-SINS plasmon,AC-SINS shift,DSF onset,DSF Tm1,SEPAX rt,mAb-Pac HIC-20 pH 6 rt,BEH HIC pH 5.2 rt,Hep chrom conductivity,kD,Zeta,AS precip,Peg precip,BVP,Membran Prep,PEI Score,VL Subtype,VH Subtype
1310-2,2.694,98.66,1.18,2.97,0.709,0.42,582,46,77.2,80.1,9.4,55.08,1.377,3.695,8.213985555,3.455,0.88,25,1.020761246,1.810636183,2.458250497,4,1
5173-2,2.973,99.35,0.99,1.23,0.231,1.61,534,-2,77.3,80,9.3,54.091,1.399,3.937,23.88153183,3.71,1.03,45,0.944830499,3.715076072,2.641078838,4,1
5177-2,3.018,87.35,0.86,,10.445,1.21,536,0,100,75.1,9.2,55.495,1.404,4.934,23.90402936,4.625,1.105,25,0.927642481,2.483316977,2.00343474,4,1
5178-4,3.013,90,0.94,,9.748,1.81,536,0,77.1,76.6,9.2,55.476,1.412,3.942,21.06365829,4.41,1.03,25,0.988862478,3.151840491,2.3200409,4,1
11878-1,2.728,98.94,1.17,1.9,0.571,1.01,556,20,100,79,8.6,35.931,1.387,13.353,35.15293123,5.21,1.253,33,1.010389883,3.838438735,2.584486166,3,4
11880-1,2.719,98.44,1.25,2.26,1.024,1.27,546,10,100,79.7,8.5,39.739,1.318,10.491,31.56234501,4.28,1.07,33,1.029816179,12.61378738,4.995016611,3,4
12253-1,2.843,98.74,1.18,1.84,0.995,0.33,576,40,100,80.4,9.4,41.644,1.395,7.823,31.79865021,1.415,0.95,31,1.16309371,6.663804491,4.330250991,3,4
12254-1,2.771,99.16,1.28,1.94,0.534,1.55,554,18,100,81.5,8.7,37.573,1.32,5.796,36.46267807,6.035,0.92,29,1.006756948,6.014771049,4.247415066,3,4
13544-1,3.117,93.85,0.76,,6.028,0.95,586,50,76.2,75.4,65,142.524,1.537,5.676,17.05784921,6.36,0.96,41,1.344556756,2.672685185,2.823148148,3,4
13545-1,2.438,99.46,0.55,4.28,0.355,1.19,582,46,63.7,66.5,8.6,41.9,1.393,3.216,9.629551256,4.4,1.03,21,0.976828926,4.858463727,3.028449502,3,3
13547-1,2.858,99.35,1.03,1.81,0.429,0.45,572,36,100,80.8,10.3,38.888,1.398,11.169,25.06819887,6.925,1.18,45,1.019150347,5.842622951,4.62568306,3,3
13548-1,2.857,98.16,0.96,2.22,1.682,0.48,584,48,73.5,73.1,10.6,53.917,1.389,3.979,10.74966969,5.08,1.64,39,1.043632959,5.306451613,6.119175627,3,5
13550-2,2.76,98.82,1.12,1.84,0.575,1.28,564,28,100,77.8,8.6,33.819,1.397,26.087,33.32713191,6.53,1.41,21,4.100012314,10.21586538,5.202884615,3,1
13551-1,3.092,97.47,0.81,1.17,2.25,1.13,572,36,72.3,72,65,59.22,1.399,3.26,-1.271482613,4.425,1.72,39,0.759339511,3.61930406,3.013256007,3,3
1664-5,2.82,98.89,1.18,1.88,0.746,0.87,538,2,74.9,74.4,8.8,46.825,1.327,4.545,18.10874581,5.69,1.03,27,0.978780892,4.407570423,3.683098592,3,3
1799-6,2.703,99.4,0.92,1.77,0.205,2.59,538,2,100,76.7,8.5,34.155,1.315,5.243,12.09586296,4.58,1.18,27,1.033103413,3.264356436,2.467326733,3,4
5176-2,3.126,99.13,0.92,1.62,0.333,1.83,538,2,83.9,83,33.3,99.132,1.468,3.801,23.18706601,3.75,0.95,41,0.959302675,3.378726287,2.151761518,3,4
7209-1,2.678,98.54,1.24,2.91,1.179,2.15,536,0,100,67.7,8.9,42.128,1.377,7.932,30.47182235,4.875,1.18,45,1.043191669,4.425814234,3.131483715,3,4
8267-1,2.825,99.13,1.13,1.84,0.538,1.94,536,0,100,74.2,10.4,49.095,1.398,12.484,42.91058531,6.67,1.105,45,1.021742289,4.358940972,2.897135417,3,4
8269-1,2.733,99.03,1.16,1.98,0.648,0.6,552,16,100,75.6,8.6,39.117,1.384,14.879,84.84878146,6.46,1.18,45,1.082257751,7.830570902,4.203499079,3,4
8270-1,2.673,98.97,1.23,3,0.492,2.52,536,0,100,74.7,8.8,42.548,1.319,6.129,33.92714163,3.7,1.18,41,1.105734079,6.107484076,4.625,3,4
8272-1,2.795,99.33,1.14,1.83,0.345,0.82,538,2,100,76.7,9.1,41.681,1.386,7.3,30.91938585,7.835,1.14,27,0.989722709,5.64298725,3.95992714,3,4
8273-1,2.817,98.68,1.19,1.77,1.003,0.41,560,24,72.3,73.6,8.8,53.816,1.326,2.886,5.841119405,2.67,0.88,19,1.008097723,3.90625,3.109375,3,3
11871-1,2.697,99.12,1.17,1.84,0.427,4.67,534,-2,76.3,73.7,8.4,35.424,1.31,5.064,24.38684351,4.44,1.18,25,1.009616725,3.383755589,2.85171386,2,3
11873-1,2.693,98.13,1.16,1.83,1.483,2.74,534,-2,57.5,59.6,8.5,300,1.319,3.964,-2.995752324,5.43,1.1,15,0.76512545,4.040053405,3.662216288,2,3
11876-1,2.716,99.28,1.21,1.86,0.25,3.6,534,-2,100,72.5,8.4,35.896,1.312,4.17,26.22706981,3.59,1.18,41,1.076651408,3.476371951,3.023628049,2,3
12257-1,2.177,99.96,0.4,2.05,0,2.19,538,2,,77,65,300,1.583,5.58,41.52315793,6.615,1.18,37,28.73388112,29.06345886,39.00767085,2,3
12258-1,2.738,99.42,1.08,2.48,0.252,1.11,536,0,72.7,76.6,9.2,47.709,1.323,5.25,20.23601383,5.825,1.03,45,0.971468364,4.992088608,3.771360759,2,3
3345-2,2.787,99.18,0.91,2.88,0.475,0.29,576,40,82.2,81.5,11.8,98.82,1.445,3.97,15.71169571,4.79,0.95,31,1.034392015,2.9745,2.144,2,3
3357-2,2.5,99.38,0.7,4.65,0.316,0.51,582,46,78,74,9.3,51.475,1.376,5.34,10.87131546,5.85,0.99,29,0.994143682,4.11292517,3.194557823,2,3
11279-1,2.747,99.4,1.1,1.92,0.247,1.78,572,36,100,82.6,8.9,38.152,1.399,15.38,43.90886439,6.775,0.95,45,1.031085735,10.89688427,7.915430267,1,3
11280-1,2.715,99.48,0.53,3.35,0.147,0.84,566,30,100,74.8,9,47.859,1.373,4.18,15.91056147,5.425,0.88,39,0.951009795,3.051030928,2.57628866,1,3
11281-1,2.778,99.14,1.11,1.79,0.331,2.21,536,0,100,74.9,9,45.924,1.387,8.413,43.97650114,5.35,1.03,41,1.040162008,4.877753304,5.117290749,1,3
11282-1,3.37,98.26,0.72,1.2,0.734,0.47,586,50,100,74.4,14.4,57.513,1.523,9.224,27.95191599,4.455,1.03,23,0.938978476,6.051184433,2.540186125,1,3
11875-1,2.803,99.3,1.24,1.87,0.409,2.3,540,4,100,77.2,8.9,41.129,1.38,11.543,36.38462805,4.885,1.03,33,1.042283803,7.843364198,5.56404321,1,3
11881-1,2.754,99.45,1.17,1.83,0.243,1.68,542,6,100,75.7,10,43.234,1.387,10.411,34.23423188,4.395,1.07,43,0.844671445,12.73214286,5.472402597,1,1
12252-3,2.834,99.42,1.1,2.14,0.328,0.53,566,30,100,72.4,65,43.546,1.634,13.248,38.1016525,6.46,1.1,45,1.797362394,15.24653465,5.213861386,1,1
12260-1,2.723,99.49,1.25,2.5,0.207,0.81,584,48,100,75.4,9.8,46.753,1.394,10.179,34.47857045,6.465,0.96,43,0.82665572,7.997356828,3.133480176,1,1
12261-1,2.738,98.88,1.24,2.19,0.702,0.45,558,22,71.9,72.3,9,58.248,1.393,6.07,6.974018353,6.115,0.56,25,1.010593842,2.754920337,2.134957826,1,3
12262-1,2.73,98.67,1.24,1.88,0.865,5.05,538,2,73.4,75.3,8.6,56.391,1.373,3.93,6.052595131,4.895,0.95,25,0.991338525,4.454545455,2.663299663,1,3
12264-1,2.833,99.26,1.11,2.14,0.537,2.93,572,36,67.9,66,11.3,55.9,1.404,4.612,21.66480752,5.31,1.18,37,0.927128918,4.333743842,3.139778325,1,1
1308-2,2.829,99.01,0.96,2.28,0.549,0.49,590,54,100,78.7,9.6,49.015,1.402,9.018,33.15951616,3.91,1.03,27,1.067379691,3.789915966,3.336134454,1,3
1309-2,2.777,98.83,0.98,1.9,0.271,2.26,538,2,100,79.8,8.8,46.658,1.318,7.31,23.77929008,3.42,1.1,41,0.99424747,1.983661972,1.735492958,1,3
13543-1,2.863,98.42,1.09,1.91,1.39,1.01,572,36,100,71.5,10.3,51.66,1.458,10.51,35.83177546,6.4,0.73,39,1.098490028,8.095744681,6.815957447,1,3
13549-1,2.772,98.88,1.13,1.72,0.89,0.42,580,44,100,74.9,8.6,40.974,1.379,13.299,27.34316674,6.765,1.1,35,0.87833134,8.151515152,6.242424242,1,1
13552-1,2.891,99.44,1.17,1.95,0.285,2.47,580,44,80.7,79.4,14.1,57.884,1.391,8.421,25.23252093,1.37,1.72,45,1.031001371,6.160447761,5.16641791,1,3
14634-1,2.749,98.77,1.21,1.85,0.921,4.69,594,58,78,77.6,8.6,44.625,1.313,3.961,1.699033624,3.59,0.88,19,1.690235019,27.84709193,2.367729831,1,3
2146-2,2.653,99.63,0.6,3.79,0.201,0.37,576,40,100,71.7,34.2,83.227,1.458,7.952,17.65658093,7.56,0.96,45,1.033940381,14.24185766,3.158624849,1,1
2236-2,2.743,98.71,1.13,1.79,1.017,1.54,536,0,100,79.9,8.6,48.619,1.321,3.005,7.061636953,4.11,1.1,45,0.941289199,2.183823529,1.576124567,1,3
2398-3,3.185,98.95,0.73,2.45,0.626,0.43,578,42,100,73.4,16.2,116.8,1.548,6.896,18.16243663,6.725,1.03,24,1.02910647,6.577821012,4.237354086,1,3
8265-1,2.722,99.35,1.16,1.92,0.323,2.87,536,0,100,67.7,8.6,37.497,1.316,3.933,23.51061753,6.415,1.26,21,0.904727305,2.783333333,1.978282828,1,1
4264-3,2.874,99.6,1.21,1.66,0.21,0.48,544,8,100,73.9,8.8,37.677,1.379,7.848,27.72608335,5.72,1.1,39,1.034624624,5.928176796,1.862799263,1,1
7207-1,2.721,99.51,1.32,2.02,0.145,1.49,538,2,100,77.8,8.5,34.927,1.313,6.978,22.47012914,3.97,1.18,26,1.006402527,4.60952381,3.495238095,1,1
