name	dipole_moment	hyd_moment	net_charge	pro_pI_3D
emibetuzumab.VL  emi_E18_030.VH	556.98969	641.15582	4.4904156	8.9829102
emibetuzumab.VL  emi_E18_031.VH	481.81708	706.35461	2.7456629	8.2797852
emibetuzumab.VL  emi_E18_032.VH	407.44543	610.8269	-0.23154952	7.2250977
emibetuzumab.VL  emi_E18_033.VH	509.24582	588.02405	2.6890614	8.1625977
emibetuzumab.VL  emi_E18_034.VH	416.64124	509.66373	1.2891295	7.9282227
emibetuzumab.VL  emi_E18_037.VH	359.29132	615.35754	1.2502891	7.737793
emibetuzumab.VL  emi_E18_040.VH	521.53839	661.58875	2.734453	8.206543
emibetuzumab.VL  emi_E24_001.VH	326.91782	621.63068	-0.54304624	6.2270508
emibetuzumab.VL  emi_E24_003.VH	416.90082	566.87872	1.2822998	7.7524414
emibetuzumab.VL  emi_E24_004.VH	348.28735	568.42993	-0.50223005	6.6977539
emibetuzumab.VL  emi_E24_005.VH	491.42145	588.89276	2.7747903	8.2651367
emibetuzumab.VL  emi_E24_006.VH	421.48212	549.979	1.2995274	7.7817383
emibetuzumab.VL  emi_E24_007.VH	314.90967	644.50061	-1.5060512	5.0336914
emibetuzumab.VL  emi_E24_010.VH	445.89999	509.89838	2.7570965	8.3383789
emibetuzumab.VL  emi_E24_012.VH	502.6557	587.66241	3.6231139	8.543457
emibetuzumab.VL  emi_E24_013.VH	505.22156	603.97925	3.5489438	8.777832
emibetuzumab.VL  emi_E24_015.VH	401.3273	566.1618	1.2841115	7.7524414
emibetuzumab.VL  emi_E24_016.VH	495.03946	614.20056	2.7485132	8.2211914
emibetuzumab.VL  emi_E24_018.VH	426.33362	590.38989	2.7559712	8.2797852
emibetuzumab.VL  emi_E24_019.VH	451.15073	615.46466	2.762152	8.3237305
emibetuzumab.VL  emi_E24_020.VH	401.0007	653.78363	-1.5059497	5.2495117
emibetuzumab.VL  emi_E24_21.VH	484.19913	576.87579	2.7743964	8.2651367
