name,dipole_moment,hyd_moment,net_charge,pro_pI_3D
lirilumab.VL  lirilumab.VH,336.1813,359.12579,0.23487645,7.9282227
ozanezumab.VL  ozanezumab.VH,469.6272,479.87756,4.9018741,8.9389648
parsatuzumab.VL  parsatuzumab.VH,392.57178,337.78888,2.5442615,8.1625977
patritumab.VL  patritumab.VH,679.22278,677.40649,3.7007916,8.309082
ponezumab.VL  ponezumab.VH,412.14951,331.9751,4.9105473,9.0268555
robatumumab.VL  robatumumab.VH,583.66907,261.80029,3.780756,8.9682617
simtuzumab.VL  simtuzumab.VH,490.52072,244.54555,3.2930715,8.309082
sirukumab.VL  sirukumab.VH,548.98065,204.46251,-1.2485684,5.2749023
teplizumab.VL  teplizumab.VH,802.78229,697.06024,6.5286226,9.2026367
urelumab.VL  urelumab.VH,512.88049,514.92297,-0.35174412,6.8149414
ustekinumab.VL  ustekinumab.VH,271.23163,215.20992,2.5446815,8.7045898
visilizumab.VL  visilizumab.VH,702.81464,447.39072,5.748343,9.0708008
ADI-14455.VL  ADI-14455.VH,327.67496,197.77147,5.0071449,9.1293945
ADI-14461.VL  ADI-14461.VH,541.07404,367.5192,-0.35079038,7.0932617
ADI-14456.VL  ADI-14456.VH,298.10385,247.54506,3.0658715,8.4262695
ADI-14454.VL  ADI-14454.VH,306.09689,264.59677,0.47215033,7.9135742
ADI-14479.VL  ADI-14479.VH,504.58612,293.1824,0.40263283,7.5473633
ADI-14490.VL  ADI-14490.VH,510.33453,461.7467,5.4029527,9.012207
ADI-14491.VL  ADI-14491.VH,587.64386,352.67505,-0.53637242,7.1079102
ADI-14467.VL  ADI-14467.VH,335.38693,166.77272,-1.0661342,6.5219727
ADI-14494.VL  ADI-14494.VH,576.36133,333.27344,-0.56513566,7.1079102
ADI-14523.VL  ADI-14523.VH,285.34695,497.77115,-4.423295,4.3481445
ADI-14528.VL  ADI-14528.VH,570.04321,513.09467,2.8451359,8.3530273
ADI-14534.VL  ADI-14534.VH,595.69971,563.60468,2.1304998,8.0014648
ADI-14515.VL  ADI-14515.VH,550.33539,276.41992,5.4915628,9.3051758
ADI-14521.VL  ADI-14521.VH,350.62793,324.68634,3.6423028,8.5874023
ADI-14537.VL  ADI-14537.VH,394.96448,553.96106,-3.5371568,4.487793
ADI-14540.VL  ADI-14540.VH,562.13684,271.00021,3.6224227,8.777832
ADI-14511.VL  ADI-14511.VH,267.26721,282.50925,-0.22782312,6.480957
ADI-14522.VL  ADI-14522.VH,369.98709,348.97723,0.28994259,7.8696289
ADI-14525.VL  ADI-14525.VH,612.0368,437.29904,-1.4276042,6.2016602
ADI-14536.VL  ADI-14536.VH,337.32977,390.96851,4.0030599,8.6166992
ADI-14557.VL  ADI-14557.VH,280.55847,238.65379,3.0857646,8.2504883
ADI-14552.VL  ADI-14552.VH,482.37497,376.99664,0.10022403,7.5620117
ADI-14543.VL  ADI-14543.VH,341.24307,316.26184,5.4556856,8.9682617
ADI-14560.VL  ADI-14560.VH,433.14389,173.6881,0.38650998,7.9135742
ADI-15578.VL  ADI-15578.VH,453.39896,230.02646,3.5615232,8.7338867
ADI-15582.VL  ADI-15582.VH,373.74277,415.07727,3.6465924,8.4848633
ADI-15583.VL  ADI-15583.VH,406.9386,216.65501,0.47052479,7.8696289
ADI-15586.VL  ADI-15586.VH,366.08121,410.41907,-2.4911659,4.8305664
ADI-15587.VL  ADI-15587.VH,281.15399,152.36894,3.8514149,9.1147461
ADI-15593.VL  ADI-15593.VH,584.5365,300.9429,3.8750935,8.7924805
ADI-15600.VL  ADI-15600.VH,345.7955,271.00446,-0.17153339,7.1518555
ADI-15602.VL  ADI-15602.VH,525.59216,232.06256,-0.1198951,6.5073242
ADI-15607.VL  ADI-15607.VH,549.22577,562.25433,3.6451554,8.0893555
ADI-15609.VL  ADI-15609.VH,439.12762,255.98651,-0.22807734,6.8735352
ADI-15624.VL  ADI-15624.VH,555.02155,592.52612,4.1921206,8.7192383
ADI-15630.VL  ADI-15630.VH,800.94159,340.36713,1.174166,7.8696289
ADI-15634.VL  ADI-15634.VH,468.32428,266.08231,4.1126423,8.1918945
ADI-15640.VL  ADI-15640.VH,312.10419,122.31304,3.6640067,8.6459961
ADI-15642.VL  ADI-15642.VH,423.93533,311.06735,2.553951,8.1918945
ADI-15643.VL  ADI-15643.VH,323.10538,196.01122,-0.21825512,7.1518555
ADI-15644.VL  ADI-15644.VH,241.63934,382.04642,2.941597,8.440918
ADI-15645.VL  ADI-15645.VH,335.42953,99.57711,0.12778637,7.6499023
ADI-15006.VL  ADI-15006.VH,392.24805,489.08902,0.41491693,7.7963867
ADI-15647.VL  ADI-15647.VH,434.40311,126.72595,-1.3906299,5.1606445
ADI-15650.VL  ADI-15650.VH,464.95471,336.05548,-0.28965011,7.0493164
ADI-15655.VL  ADI-15655.VH,471.62213,319.09619,-1.9828161,6.4047852
ADI-15657.VL  ADI-15657.VH,595.70679,205.12042,2.7796516,8.0307617
ADI-15662.VL  ADI-15662.VH,519.72272,448.07776,3.7914495,8.6459961
ADI-15663.VL  ADI-15663.VH,308.09543,301.45782,3.2706282,8.3383789
ADI-15664.VL  ADI-15664.VH,512.75519,360.64526,0.41491368,7.6352539
ADI-15666.VL  ADI-15666.VH,329.13522,789.52435,5.736351,9.3344727
ADI-15566.VL  ADI-15566.VH,260.22369,248.48528,5.3889852,9.3198242
ADI-15564.VL  ADI-15564.VH,428.47272,218.04929,-1.7633252,5.465332
ADI-15570.VL  ADI-15570.VH,506.12173,376.54974,3.8676929,8.4262695
ADI-18875.VL  ADI-18875.VH,229.10951,360.66681,3.9472284,8.3237305
ADI-18892.VL  ADI-18892.VH,455.25107,205.45537,2.8004198,8.2358398
ADI-18903.VL  ADI-18903.VH,305.67831,393.70401,3.1462252,8.3530273
ADI-18878.VL  ADI-18878.VH,365.65805,536.06647,3.4963043,8.2797852
ADI-18884.VL  ADI-18884.VH,562.50488,107.60375,0.24298216,7.6499023
ADI-18906.VL  ADI-18906.VH,623.43134,334.12784,2.7766383,8.543457
ADI-18879.VL  ADI-18879.VH,300.30896,386.84811,3.1863215,8.4848633
ADI-18896.VL  ADI-18896.VH,444.1069,324.10922,0.041428484,7.6206055
ADI-18885.VL  ADI-18885.VH,484.30994,567.21991,2.9851563,8.0893555
ADI-18888.VL  ADI-18888.VH,686.49487,331.81091,5.3484049,9.1147461
ADI-18899.VL  ADI-18899.VH,399.90646,333.46835,1.8657004,8.1040039
ADI-18911.VL  ADI-18911.VH,726.65369,284.6861,1.1518589,7.8110352
ADI-18909.VL  ADI-18909.VH,433.16742,404.37827,4.0623789,8.6606445
ADI-18918.VL  ADI-18918.VH,557.39044,325.28519,1.1582706,7.8696289
ADI-18926.VL  ADI-18926.VH,172.19537,439.74854,-1.0695133,6.3793945
ADI-18933.VL  ADI-18933.VH,199.75636,123.06013,4.6602292,8.909668
ADI-18951.VL  ADI-18951.VH,383.1149,302.84647,7.5359025,9.5981445
ADI-18947.VL  ADI-18947.VH,635.00281,331.08875,3.6022484,8.909668
ADI-18936.VL  ADI-18936.VH,345.18747,163.90297,1.9770312,8.0600586
ADI-18941.VL  ADI-18941.VH,270.81393,280.25861,0.16656251,7.7231445
ADI-18937.VL  ADI-18937.VH,304.93793,449.41782,-0.50549501,7.0200195
ADI-18955.VL  ADI-18955.VH,512.19031,329.99023,1.8720245,8.074707
ADI-18942.VL  ADI-18942.VH,360.12863,248.73457,3.6457672,8.8510742
ADI-18946.VL  ADI-18946.VH,449.24023,330.15973,4.5653281,8.7045898
ADI-19007.VL  ADI-19007.VH,540.75854,762.87311,2.7439923,8.3969727
ADI-19008.VL  ADI-19008.VH,610.86798,328.98422,2.1330247,8.1918945
ADI-19002.VL  ADI-19002.VH,226.21503,571.93256,0.94471508,7.8256836
ADI-18983.VL  ADI-18983.VH,360.54739,492.96381,0.043081246,7.6645508
ADI-18995.VL  ADI-18995.VH,160.99072,466.9014,-5.5273304,4.3608398
ADI-18990.VL  ADI-18990.VH,355.85712,224.71991,3.664607,8.8217773
ADI-18979.VL  ADI-18979.VH,297.9021,518.966,2.1935623,7.9135742
ADI-18991.VL  ADI-18991.VH,192.46535,477.23593,-3.2904837,4.7290039
ADI-18994.VL  ADI-18994.VH,449.46252,138.36807,5.0680408,8.6313477
ADI-18982.VL  ADI-18982.VH,331.13275,609.02509,5.6159611,8.9389648
ADI-18999.VL  ADI-18999.VH,276.10666,152.2621,3.3280158,8.2504883
ADI-18997.VL  ADI-18997.VH,388.3887,441.61862,2.162209,7.8696289
ADI-15741.VL  ADI-15741.VH,652.53149,561.66797,3.9922259,8.5141602
ADI-15749.VL  ADI-15749.VH,440.64697,124.00946,5.9416351,9.2026367
ADI-15747.VL  ADI-15747.VH,432.68005,109.89834,0.05787719,7.605957
ADI-15745.VL  ADI-15745.VH,688.92224,89.748253,5.6695666,9.2905273
ADI-15756.VL  ADI-15756.VH,197.17415,340.56979,3.9317298,8.6020508
ADI-15743.VL  ADI-15743.VH,701.47107,714.15851,3.8591468,8.6313477
ADI-15733.VL  ADI-15733.VH,291.23242,189.27618,2.352531,8.4848633
ADI-15754.VL  ADI-15754.VH,216.75546,485.76187,4.2136664,9.0708008
ADI-15776.VL  ADI-15776.VH,562.5332,274.19452,-0.8735615,6.6977539
ADI-15791.VL  ADI-15791.VH,500.76215,471.85379,2.5380249,8.1333008
ADI-15787.VL  ADI-15787.VH,453.64063,196.75526,2.1023505,8.0454102
ADI-15766.VL  ADI-15766.VH,547.58557,209.33635,3.660809,8.777832
ADI-15774.VL  ADI-15774.VH,388.59744,179.57587,3.5646586,8.6899414
ADI-15777.VL  ADI-15777.VH,624.84125,249.39964,-1.6573032,5.5541992
ADI-15789.VL  ADI-15789.VH,425.15707,352.28275,3.4671645,9.012207
ADI-15764.VL  ADI-15764.VH,343.64502,291.17828,3.4603057,8.4555664
ADI-15785.VL  ADI-15785.VH,584.01666,311.0322,2.1173472,8.0893555
ADI-15767.VL  ADI-15767.VH,490.34451,238.75671,-0.2551502,6.4682617
ADI-15775.VL  ADI-15775.VH,485.66989,580.5647,4.5501709,9.2905273
ADI-15768.VL  ADI-15768.VH,589.85315,206.75201,0.050558474,7.5913086
ADI-15788.VL  ADI-15788.VH,466.9642,405.44501,4.2620034,8.7045898
ADI-15804.VL  ADI-15804.VH,521.37579,175.09392,-1.6679925,5.6049805
ADI-15823.VL  ADI-15823.VH,499.13205,288.27753,-0.18193375,7.1665039
ADI-15794.VL  ADI-15794.VH,569.66132,382.4451,3.6014459,8.7192383
ADI-15813.VL  ADI-15813.VH,486.23145,457.71259,2.2826526,8.0893555
ADI-15797.VL  ADI-15797.VH,462.84454,290.93167,0.34118131,7.7670898
ADI-15800.VL  ADI-15800.VH,321.55783,173.86824,0.035112105,7.6352539
ADI-15796.VL  ADI-15796.VH,486.30902,196.50925,-0.018288661,7.371582
ADI-15807.VL  ADI-15807.VH,349.90869,328.28134,0.54500127,7.6206055
ADI-15812.VL  ADI-15812.VH,564.54321,760.09485,-1.3295949,6.6977539
ADI-15972.VL  ADI-15972.VH,383.15732,175.43457,3.797755,8.675293
ADI-15959.VL  ADI-15959.VH,633.99945,221.98145,2.9950371,8.7924805
ADI-15957.VL  ADI-15957.VH,373.21808,230.0428,3.1422307,8.543457
ADI-15977.VL  ADI-15977.VH,655.11932,593.37579,4.7823668,8.6313477
ADI-15990.VL  ADI-15990.VH,326.27631,406.37442,-1.0866265,6.7124023
ADI-15993.VL  ADI-15993.VH,602.74493,309.53189,4.627214,8.9829102
ADI-15992.VL  ADI-15992.VH,385.61847,182.24184,1.9816152,8.0893555
ADI-15994.VL  ADI-15994.VH,494.84885,325.40518,1.9974632,8.0161133
ADI-15933.VL  ADI-15933.VH,545.38812,345.57428,5.6095228,9.4223633
ADI-15949.VL  ADI-15949.VH,484.94659,248.34157,5.6327176,9.1879883
ADI-15952.VL  ADI-15952.VH,468.77155,356.6171,2.0509703,8.0161133
ADI-15926.VL  ADI-15926.VH,536.37646,445.02893,2.9735188,8.8217773
ADI-15940.VL  ADI-15940.VH,477.01477,277.26782,2.8602908,8.8657227
ADI-15951.VL  ADI-15951.VH,449.87302,481.33215,3.588336,8.675293
ADI-15938.VL  ADI-15938.VH,409.49701,250.30347,3.649328,8.6459961
ADI-16009.VL  ADI-16009.VH,448.83353,475.21851,3.7147722,8.9536133
ADI-16011.VL  ADI-16011.VH,687.82446,140.50037,-0.20038936,7.1518555
ADI-16013.VL  ADI-16013.VH,473.04147,388.28146,-0.22105047,7.2104492
ADI-15996.VL  ADI-15996.VH,626.26758,209.90692,-3.5442483,4.8051758
ADI-16012.VL  ADI-16012.VH,248.745,123.21973,1.3650601,7.8110352
ADI-16014.VL  ADI-16014.VH,400.90436,530.52045,4.1847854,8.9536133
ADI-16007.VL  ADI-16007.VH,430.59058,445.93433,3.5162742,8.4995117
ADI-16017.VL  ADI-16017.VH,368.34161,447.93027,0.2286166,7.5913086
ADI-16010.VL  ADI-16010.VH,458.09564,191.94519,2.4891009,8.2944336
ADI-16015.VL  ADI-16015.VH,476.30142,254.59106,3.8950102,9.012207
ADI-15831.VL  ADI-15831.VH,448.60519,306.3045,2.1168728,8.5141602
ADI-15854.VL  ADI-15854.VH,639.25623,516.10828,2.6089022,8.2358398
ADI-15851.VL  ADI-15851.VH,462.93469,462.14337,2.714241,8.2944336
ADI-15838.VL  ADI-15838.VH,488.48553,508.46606,3.9910281,9.2319336
ADI-15859.VL  ADI-15859.VH,490.11612,215.91002,4.7271724,9.0415039
ADI-15837.VL  ADI-15837.VH,392.38998,256.12051,3.4249437,8.8071289
ADI-15855.VL  ADI-15855.VH,398.00198,69.712395,1.903753,7.6938477
ADI-15839.VL  ADI-15839.VH,698.93268,557.31836,4.7670941,8.675293
ADI-15841.VL  ADI-15841.VH,528.07007,585.42737,4.6659966,9.1000977
ADI-15843.VL  ADI-15843.VH,566.0896,578.66943,2.8748717,8.5288086
ADI-15888.VL  ADI-15888.VH,411.41574,254.81165,0.11139102,7.5620117
ADI-15886.VL  ADI-15886.VH,662.04132,242.90118,0.023833577,7.5620117
ADI-15876.VL  ADI-15876.VH,439.84778,550.67615,2.9569328,8.543457
ADI-15890.VL  ADI-15890.VH,316.9501,98.742081,2.2296195,8.5141602
ADI-15892.VL  ADI-15892.VH,576.71716,354.84616,0.042617496,7.5766602
ADI-15920.VL  ADI-15920.VH,403.21783,389.97211,-0.62605006,6.7856445
ADI-15911.VL  ADI-15911.VH,318.78018,597.04059,3.9672852,8.6313477
ADI-15896.VL  ADI-15896.VH,744.26697,263.44482,-0.22967105,7.605957
ADI-15907.VL  ADI-15907.VH,422.79568,346.97443,1.9515567,7.9575195
ADI-15894.VL  ADI-15894.VH,336.52499,341.95001,2.9857743,8.2211914
ADI-15919.VL  ADI-15919.VH,670.49939,559.99683,6.7191038,9.378418
ADI-15912.VL  ADI-15912.VH,535.55994,571.50507,2.6458492,8.5874023
ADI-15899.VL  ADI-15899.VH,237.74678,372.71527,2.9434104,8.8657227
ADI-15913.VL  ADI-15913.VH,404.85294,309.17252,-0.58231366,6.6538086
ADI-16036.VL  ADI-16036.VH,383.23203,287.80829,2.4547679,7.8696289
ADI-16022.VL  ADI-16022.VH,548.8385,393.93985,6.65729,9.4663086
ADI-16024.VL  ADI-16024.VH,447.17874,261.77844,4.5143032,8.3969727
ADI-16028.VL  ADI-16028.VH,388.1192,305.97916,6.4051056,9.2026367
ADI-16037.VL  ADI-16037.VH,538.02173,230.80379,2.1418042,7.9575195
ADI-16023.VL  ADI-16023.VH,322.13083,135.12277,0.66495782,7.7817383
ADI-16029.VL  ADI-16029.VH,505.82623,251.71194,4.5492902,9.2172852
ADI-16031.VL  ADI-16031.VH,686.84387,713.10651,3.4689476,8.5581055
ADI-16050.VL  ADI-16050.VH,471.35281,597.62079,-2.8154218,6.2397461
ADI-16055.VL  ADI-16055.VH,709.58673,458.83896,0.022195945,7.0200195
ADI-16063.VL  ADI-16063.VH,290.41791,625.67578,7.5378137,9.3637695
ADI-16056.VL  ADI-16056.VH,289.20926,206.48642,2.2759447,8.3969727
ADI-24222.VL  ADI-24222.VH,519.81122,367.34326,3.065845,8.3383789
ADI-24198.VL  ADI-24198.VH,301.22769,418.95535,3.2916117,8.543457
ADI-24191.VL  ADI-24191.VH,586.43817,148.46271,4.7379794,8.9829102
ADI-24200.VL  ADI-24200.VH,369.29269,333.79919,4.0974879,8.4702148
ADI-24249.VL  ADI-24249.VH,503.17319,167.85063,4.004241,8.8071289
ADI-24189.VL  ADI-24189.VH,513.56866,521.20154,2.2696767,7.7963867
ADI-24244.VL  ADI-24244.VH,641.25653,181.23663,5.0816979,8.9829102
ADI-24208.VL  ADI-24208.VH,316.33609,253.87727,3.5998898,8.5288086
ADI-24246.VL  ADI-24246.VH,523.43787,532.62885,5.7772007,9.4516602
ADI-24255.VL  ADI-24255.VH,345.0401,284.09161,4.0571766,8.8071289
ADI-24227.VL  ADI-24227.VH,223.61974,271.24557,2.6792142,8.3383789
ADI-24238.VL  ADI-24238.VH,333.12366,154.16936,2.510525,8.3676758
ADI-24232.VL  ADI-24232.VH,198.59999,238.23276,3.7360895,8.9682617
ADI-24234.VL  ADI-24234.VH,561.05658,243.71817,3.8979447,8.8657227
ADI-24206.VL  ADI-24206.VH,574.06,334.33627,3.1068931,8.5727539
ADI-24258.VL  ADI-24258.VH,313.26331,352.56683,-0.17414415,7.6206055
