Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A
1447.78491,7.28368759,2483.65405,60.8563423,2435.42188,68.8076019,2245.00903,2796.8645,2210.70044,3479.68335,1762.28284,4826.62939,2013.71912,29.6235085,1683.65234,182.735916,3168.10596,217.151642,2631.0564,49.7579575,1875.99658,3287.38696,2003.50281,2486.83691,1355.43347,94.6998596,1341.77209,64.4683838,2537.02393,10.3235245,2357.10156,30.1122665,909.936401,5048.0127
1922.40479,13.6137009,3062.34351,70.3573227,2247.04736,35.3574753,2789.08008,1956.09326,2453.10059,2978.88525,1862.12061,5354.39258,1553.26123,8.65459442,2159.9292,187.40892,2796.53076,123.417374,2056.41992,45.0611115,2148.6521,3057.74219,1812.89917,2043.02075,1260.08984,68.0088959,1031.56567,75.9959259,2267.20581,22.7808952,2009.48718,23.5319138,916.981689,4701.22119
1770.36523,51.7368317,2692.96167,50.6877899,2699.27979,69.2486725,2654.83862,3014.98169,2312.18335,3447.53271,2086.47241,6406.4624,1288.15173,24.7716904,2012.71777,89.0135803,2700.47192,89.2996826,2000.29614,26.9651413,2082.89624,3866.17188,1814.27002,2279.36499,1398.64685,97.5370407,1219.77332,65.2432404,1939.82129,13.8878822,2277.14771,16.2243843,823.986511,5186.66504
1398.86145,26.2260437,2315.90283,108.563904,2574.83716,62.6087189,2694.63062,2722.82373,2800.77466,3668.10571,1866.94861,5797.71973,1499.99854,7.79628754,1857.49536,116.801262,3580.09326,314.056885,2307.09326,34.3441963,1803.35046,4448.55713,1389.95642,1824.92737,1259.39844,71.7401505,1139.68848,69.7851181,2630.00732,21.8629837,2425.33691,23.9133835,834.381592,1784.02661
2806.07935,12.6838684,2587.36621,65.743927,3500.74756,44.1431999,2402.15063,2816.60547,2547.20459,3503.3584,2064.16846,5761.26563,1555.55005,24.330616,1559.72241,60.4510307,3056.64551,189.030167,2040.0166,34.070015,1781.12988,3398.46606,1663.48218,2259.48096,1384.80664,60.1887703,1116.15662,48.9354134,2254.93896,20.3847885,2433.44312,25.0577927,1120.66272,5277.40723
1844.07239,27.8353691,2880.54932,76.7826996,2482.96265,84.5909119,2208.10181,2847.71924,1894.54553,2960.33618,1733.172,4940.40234,1355.07581,9.21487808,1490.61682,169.813629,3250.47974,174.784668,2224.23071,22.315979,1859.34302,3997.24243,1631.08105,1943.29028,1396.72754,74.0289688,1109.99341,54.0971756,2741.89722,22.6616859,2449.95361,9.1791153,4.27961349,390.744202
1765.90686,23.6749649,2656.63867,64.4803009,2408.57593,61.0113144,2393.01929,2635.86035,2610.12305,3260.46948,1541.0304,4515.46924,1293.24194,5.68628311,1790.17786,155.10321,2830.51733,183.355804,2106.38037,33.2474709,1999.25903,3076.60107,1883.24451,1941.08484,1354.99243,62.6444817,1225.7218,82.9219818,2474.29614,19.5384026,2423.78711,25.4273415,1077.11548,6305.09863
1977.80127,16.2959099,2835.01147,66.9837036,2359.78369,88.9182129,2456.22388,2576.6731,2539.22949,4058.42065,1898.6344,5367.05273,1481.92639,15.9740448,2474.22461,260.651123,2394.3186,295.495972,2272.11719,39.3271446,2181.23193,3946.08984,1405.52515,1823.93787,1628.83997,96.2734222,1075.62537,75.7694244,2175.06885,25.4631042,2233.94629,22.7451324,873.589539,5006.09863
2040.24316,52.5355339,2738.3208,64.9452209,2521.35986,36.3945961,2444.29102,2815.15112,2383.18433,3004.97998,1822.47168,4871.76172,1516.48523,9.51290131,1977.44373,163.376328,3170.94336,157.117844,2327.09644,29.2778015,2060.29419,3787.05273,1675.39124,2619.76709,1246.047,77.7721405,1398.46802,58.8655472,2530.69409,23.5438347,1944.50623,4.20808792,1174.21155,5410.77832
1800.97815,17.7264214,2182.09033,78.2012939,2854.073,41.1868095,2715.74268,2894.67578,1506.57898,3064.00049,1902.25842,5075.64551,1322.49597,17.6906586,1802.27759,185.120102,2614.74854,224.149231,1904.79761,68.7122345,1741.54041,3947.1626,1645.70813,3026.23511,1311.65979,65.2670898,1182.49658,72.0262527,2615.76172,21.135807,2333.42651,12.9342079,1100.51636,5042.18359
1714.52759,14.1978264,2461.58838,125.026703,2420.49683,55.6707382,2678.00098,3033.57837,2545.71436,3278.60107,1574.45667,5409.78906,1549.79224,26.4763832,2011.776,162.756439,2551.37671,323.295593,2253.61597,42.7246094,1987.34998,3535.04419,1702.08215,2138.82935,1291.64453,79.5483551,1097.1189,65.112114,2140.2002,15.3422356,2182.50757,24.4021416,944.697876,5850.50586
1902.7948,8.66651535,2669.46558,48.6493111,2739.3103,62.0365143,2599.10815,3344.30933,2491.84375,3525.96045,1425.07556,4540.55078,1297.14014,26.011467,1561.77283,72.2169876,2864.55151,138.676163,2172.25562,40.1616096,1822.37622,4319.63184,428.557404,1628.95923,1348.37622,79.9059906,1236.47449,54.6574593,2191.53174,10.5261803,2315.3186,9.84668732,1003.52765,5895.98438
1772.49902,53.7395477,2847.03979,36.6687775,2933.77637,40.6980515,2662.62305,2734.13647,2493.53638,3202.28345,1799.05896,4679.34619,1307.9762,26.0353088,1782.28613,177.454956,2887.54712,304.210175,1843.02332,39.1602516,2063.44116,3473.31763,1849.2699,2476.99023,1362.896,86.6889954,1203.87073,80.1205597,2600.27637,28.5506248,2329.70703,22.3278999,952.625244,5585.02686
1547.82532,22.7451324,2301.22803,58.7582588,2229.29712,41.9616699,2597.59424,2826.2019,2412.95093,2918.01685,1547.64648,5638.52783,1481.64038,22.7451324,2801.2395,69.4394073,3107.46436,195.908539,1673.30505,17.5714493,2197.63525,3779.95972,2008.81958,2369.42773,1290.59558,84.7816467,1084.28003,61.8100166,2147.94873,66.077713,2237.92798,29.8023224,891.387451,5244.73193
1565.25378,10.073185,2495.77759,83.2796097,2499.67578,47.659874,2545.75024,2677.70288,1973.09253,2868.39014,1783.94312,5339.20508,1426.23181,33.4382057,1573.40759,69.3678894,2280.0564,172.38855,2017.41455,29.8142433,1778.68604,2901.06543,2100.67041,2694.35645,1378.48853,72.2885132,1035.24927,56.5052032,1902.29419,28.4194946,2395.91602,20.0986862,949.060913,5006.40869
1649.6062,44.5127487,3082.52563,70.4288483,2387.21362,69.7970428,2708.64966,2851.99878,2105.59375,2744.85352,1494.72949,1360.10645,1279.8667,12.075901,1674.84277,169.312958,3049.82666,139.975555,2258.28882,23.3769417,1826.47705,3420.09058,1791.0957,1198.11292,1391.60156,87.9883728,1084.5542,68.3188477,2240.87231,21.5649605,2205.4314,8.58306885,1093.61414,6329.48877
1404.53577,30.9228897,2372.53906,66.411499,2127.94531,33.056736,2384.80566,3182.97144,2442.70557,3200.1377,1325.83374,729.012512,1254.27246,4.88758087,1750.31421,210.154053,2619.92212,42.283535,2544.51025,22.3278999,1974.12964,3709.63818,1340.61572,2028.88245,1433.8136,116.13369,1010.29871,35.1309776,2318.53735,21.2311745,2880.22754,9.04798508,936.62738,5278.03906
2097.94043,7.11679459,2942.5979,64.5995178,3388.08301,33.9031219,2754.4021,2756.94141,2236.30664,2415.00146,2116.07227,5870.06787,1442.65894,18.3463097,1657.18799,148.355957,2639.7229,115.132332,2207.9707,21.7676163,984.430298,3595.84082,1704.12061,2737.80811,1424.18152,91.3023987,949.239746,52.1302223,2438.7478,12.242794,2262.68774,11.2533569,1034.05713,5087.23242
1763.97559,12.8865242,2489.63843,11.7540359,2399.17041,57.8522682,2733.33789,2356.07617,2439.20093,3797.24512,1940.2981,5218.93506,1336.21692,6.97374344,2645.02759,209.403046,2891.91016,93.5435333,2162.26587,19.6456909,1949.0719,3593.62354,2077.59131,544.869873,1413.55994,80.8238983,1102.00647,41.6398048,2153.89722,21.2669373,2313.18481,21.6245651,938.439392,6100.04688
1556.44421,34.6779823,2415.21606,48.3632088,2950.40601,42.3192978,2605.91504,2317.19019,2090.56128,3411.72217,2017.99866,1153.46912,1241.45752,14.2812729,1842.29614,119.352341,3221.97681,277.519226,2279.17432,39.5774841,1023.37598,3658.15161,1918.79272,2438.41406,1310.13391,59.902668,1033.10352,66.8883362,2337.71802,24.7716904,2490.18677,27.358532,1003.32501,5423.41455
1566.81543,47.6121902,3026.47363,73.5998154,2570.49805,42.6888466,2691.61475,2856.94604,2353.98999,3351.87915,1492.5957,4808.58105,1459.95618,19.8841095,1628.07703,170.743469,4370.41504,446.093079,1960.98083,52.7143478,2234.82837,1088.13049,2078.41406,2418.18433,1280.24817,59.6165657,1181.11377,68.151947,2319.7771,49.0546227,2290.36816,15.1276588,980.496399,5877.56641
1756.83496,33.5335732,2339.79224,113.964081,2470.09985,84.3048096,1695.12036,2336.39478,2455.94971,3394.04346,1763.79675,4863.48877,1275.86121,15.5568123,2403.48584,111.246109,2398.39551,235.736374,2367.66333,25.9637833,1464.42651,4000.3418,1711.39246,2442.30029,1295.88843,49.9010086,1104.02112,58.400631,2142.87036,54.6574593,2301.26392,11.575222,916.302185,5963.96924
1570.05786,17.0469284,2986.9436,73.7071075,2550.26807,46.1339951,2688.68213,2827.45361,2203.40479,3803.34863,1763.84448,4027.4502,1251.45911,11.3368034,1689.97046,152.42099,2413.45166,154.209137,2008.74805,15.9502029,2109.13428,3910.98267,1896.91785,1735.37732,1390.40942,112.23555,1148.96301,65.4220581,2709.46021,34.6064568,2186.44141,13.8998032,1093.1969,6595.17041
1694.10706,46.312809,3052.11548,106.215477,2737.2002,43.6425209,2877.23535,3615.04565,2245.80762,3157.88989,2035.9397,1372.80225,1342.86877,23.2100487,1671.89832,159.180161,3430.81958,228.178497,2303.49292,34.3680382,1989.05469,3571.70117,1652.68188,2890.83716,1264.97742,56.6601753,1178.86072,74.5892487,2177.48877,17.0588493,2366.20898,31.5070152,842.785828,4742.83691
1766.93201,63.0617142,2513.6709,45.9551811,2216.2915,32.7825546,2544.83228,2799.34399,2122.04468,3912.1748,1703.6438,5191.31445,1285.11194,17.0588493,1957.70264,169.479843,2759.65918,185.239319,2177.10742,30.875206,1796.71045,3305.42334,1664.96033,1749.8136,1190.93652,58.1622124,1190.76965,45.2280045,2269.58984,13.9355659,2330.64893,34.0342522,726.866699,4287.98193
1757.02576,36.3707542,2848.58936,48.4108925,2632.66553,30.1718712,2898.63354,2785.99268,2420.66382,3640.42529,1980.78149,4937.64893,1338.87524,7.1644783,1533.49634,64.9809875,3222.69189,327.527527,2122.72412,29.1109085,1959.27625,3691.78052,1994.34753,2373.18286,1224.11255,85.4969025,1140.68982,68.0327454,2397.07227,14.090538,2559.84058,31.876564,812.852356,4187.97754
1899.82654,26.3094902,2671.92114,75.3641129,2676.77295,19.3953514,2359.00879,2921.37866,2240.94385,3279.17334,1764.91736,5376.12451,1280.65344,33.6885452,2186.06006,158.405304,3006.31519,189.590454,1973.2356,24.1875648,2028.08374,3814.0415,1562.46423,2072.47729,1314.74731,87.6426697,1088.20203,45.4425812,2138.22119,28.9201736,2140.3313,30.6487083,829.99469,4979.02637
2362.56128,22.5782394,2884.04224,63.1451607,2105.9751,68.1638718,2365.86328,3111.37427,2361.50024,4276.43066,1929.76001,5694.91406,1363.50391,10.3116035,1865.62537,196.385376,3097.71289,279.307373,2419.94849,30.4460526,1688.55188,1311.85059,1585.96045,2367.48462,1411.46179,59.7715378,1119.16064,82.528595,2141.47559,37.4674797,2339.86377,14.424324,956.881042,5686.97461
1573.64612,41.8901443,3662.24048,72.4673309,2191.03101,121.843811,2638.26855,2545.48779,2562.09375,3560.12573,2015.32837,3430.84326,1410.53198,24.7120857,2111.17261,74.5177307,3539.31177,150.251389,2303.60034,29.9096107,2099.32324,3604.92456,1419.54419,1987.77917,1240.69458,39.7086143,1156.93811,74.7084656,2351.11719,42.6888466,2274.47754,24.3902206,846.111755,5599.91602
1987.27844,26.8936157,928.771484,604.474548,2412.92725,62.6802444,2227.93823,2669.02441,2068.74609,2849.22119,2036.3689,1375.22217,1368.90405,7.10487366,1760.99536,209.86795,2949.98877,139.164917,2432.87085,26.2022018,1798.06946,3413.65332,1826.52478,2497.06519,1361.08398,62.0245934,1250.41003,78.4277954,1950.38318,23.4723091,2402.94922,26.8340111,871.241089,4754.44775
1643.99146,17.619133,2694.97632,70.1189041,2339.5896,45.2876091,2526.78394,3113.24585,2353.20337,2669.40601,1607.32275,3953.33765,1963.13855,15.4137611,1855.54028,160.801407,2486.28857,209.069244,2131.61719,23.0908394,1990.25867,4118.38281,1840.77026,1875.57935,1260.69788,48.4704971,1145.50586,40.6503677,2252.79321,28.4790993,2215.90991,6.11543655,1024.50842,4779.39844
1484.59668,25.5227089,2883.13623,75.2568207,2650.7854,57.5184822,2723.58667,2977.27588,2342.09302,3224.31323,1758.38477,5956.02979,1352.90625,33.0090523,1569.23535,154.054169,2954.59033,156.128403,2144.09839,59.7596169,2147.49585,3995.71655,2050.53101,1968.95605,1303.16016,165.247925,1130.6167,66.2922821,2059.73389,5.17368317,2321.01685,26.3810158,1220.45276,4985.03467
1821.60144,13.6971474,3057.64673,55.6230545,2606.4397,55.8376312,2645.31372,2632.43921,2631.81934,3207.05176,1949.6322,5429.99512,1429.08093,6.43730164,1650.13074,121.617317,2205.92017,75.6978989,2148.48511,19.9198723,1944.14856,3643.41748,1790.65466,2311.70654,1423.90723,75.1495361,1223.83838,76.4846802,2321.15991,35.3932381,2268.80322,9.23871994,1006.13831,6190.80078
1323.10388,34.570694,3055.98975,59.7238541,2060.31787,55.0508499,2376.21069,2997.33887,2437.66309,3800.53516,1622.31921,4348.62354,1383.20923,22.2682953,2139.93799,220.143799,2307.09326,235.354904,2260.53003,14.3170357,1744.30603,3876.99609,2019.82263,2235.99683,1403.67749,63.7531281,1047.31323,55.706501,2276.79004,18.0840492,2135.34839,23.1027603,924.75415,4855.04883
1538.28857,38.1708145,2943.93311,61.7861748,2319.50293,45.9432602,2740.57397,3222.66821,2279.81812,3212.09424,1906.43066,2741.06274,1331.84192,8.36849213,1788.15125,109.624863,3500.37817,267.791748,2381.05054,41.6040421,1801.80078,3702.1875,1468.87305,2052.43823,1427.01868,62.2868538,1100.67126,58.2456589,2462.81616,8.15391541,2109.05078,17.8933144,830.769531,4908.6333
1506.16174,22.4232674,2631.83105,33.2713127,2597.0459,63.431263,2604.52026,3040.80249,2047.55066,3105.03247,1816.02234,5763.69775,1500.85693,5.98430634,1862.01331,215.792664,3025.73438,206.506256,2068.99634,63.4670258,1800.71594,3883.07568,2004.80225,2910.0896,1349.81873,101.447105,1120.22156,55.5038452,1965.1532,13.3037567,2480.3877,29.7188759,838.482361,4851.1626
1548.80286,32.9613686,2928.40015,63.1928444,2367.7229,64.0988312,2033.23364,2152.93164,2889.83594,3288.65039,1913.38062,5324.94775,1330.94788,22.3278999,2562.22485,173.723694,2696.14453,310.587891,1955.68799,52.4640083,2117.87231,3683.90088,1757.21643,2278.73315,1756.48926,52.3328781,1116.21619,55.8972359,2654.85059,15.0084496,2068.35278,12.588501,1024.05542,6145.82324
1621.65161,42.5934792,2629.60205,67.5439835,2377.2478,46.9088554,2069.521,2688.8252,2281.32007,2064.77637,1805.40088,4991.53125,1396.59644,9.13143158,1547.33655,110.328201,2442.31226,204.12207,2173.70996,34.8329544,1590.62146,3621.86426,1478.63623,1665.06763,1427.50745,104.963776,1067.01855,66.0419464,2077.23389,25.4631042,2264.69043,13.4110451,891.208618,5525.42188
1618.77869,34.725666,2628.82715,73.7786255,2143.7168,35.405159,2622.84277,2984.55957,2069.59253,2938.2229,1710.96326,8466.58984,1362.02576,4.78029251,1567.49487,101.697449,3179.99121,296.473511,2600.88452,42.1881676,2039.4325,3068.87622,2266.10889,2082.61011,1388.00146,91.1951065,1105.83301,63.6935234,2369.24878,15.5329704,2177.33374,11.6825104,944.149475,5500.56689
1752.11426,50.1394272,2830.33838,86.1048737,2689.76685,71.9666443,2575.67163,2567.20776,1915.87207,3094.75659,1605.18884,4692.12549,1391.81616,30.8394432,1737.30847,211.584564,3086.07813,235.676758,2422.90503,20.8616257,1920.47363,3996.69409,1585.94849,1082.71838,1465.16565,93.8653946,1076.80554,50.9500504,2477.2168,48.0890274,2402.66333,15.7952309,1059.78247,5428.89844
2065.02686,25.8803368,2684.76001,96.8694687,2192.56885,40.6622887,2362.52539,3386.6167,2212.63159,2483.83276,1585.87695,5229.53271,1227.83179,3.95774841,1590.97913,173.830994,2611.87549,95.8204269,2474.47485,15.2945518,1414.16785,2859.91431,1651.76392,2176.6543,1263.30847,80.0967255,999.820251,59.2470169,2629.93579,38.1112099,2326.56006,14.6508217,936.877747,6097.49561
1321.67334,19.7291374,2419.41211,61.9769096,2428.3291,72.8607178,2432.52515,2727.37744,2136.69531,3530.97925,1815.28333,5832.0166,1212.62073,16.5820122,1660.09668,140.178207,2864.76611,224.602219,1920.49744,6.03199005,1547.75378,3276.96802,1998.8894,2511.40601,1401.68665,86.6770782,1114.14197,60.9874725,2021.01465,14.770031,2385.68774,27.358532,1181.51904,6042.31348
1730.58508,38.9456749,3425.479,63.2762909,2489.72168,69.0460205,2622.87866,2902.17407,2538.87183,2331.66211,1795.2085,5277.91992,1450.65784,19.0138817,1804.73328,144.052505,2796.04199,206.613541,2446.54419,39.8039818,1995.33704,771.689392,1649.23669,2620.02954,1226.4729,69.9281693,1218.71228,87.7380371,2201.64063,24.5094299,2676.59424,4.82797623,1074.86243,4983.9375
1486.44446,11.742115,2860.99902,72.7891922,2440.73877,57.7569008,2562.74927,2869.76099,2667.24829,3829.27661,1958.22717,5329.97852,1528.34656,27.1081924,1824.40283,219.428543,1920.61658,214.111801,2000.23657,21.4934349,2168.85815,3450.04785,1676.60718,1915.74097,1575.55347,59.2947006,1062.28589,76.7588654,2508.3064,23.6153603,2326.73877,20.134449,838.243958,4597.72363
1858.22253,58.3410263,2673.79272,79.9179077,2221.84668,75.3641129,2558.67236,2936.79248,2312.21924,3621.33984,1471.1499,5670.91699,1216.11353,25.7134438,1952.74353,143.182281,2953.4458,226.521484,1918.93579,19.8245049,1941.72864,3813.76733,1603.16223,2123.20093,1346.7074,74.4461975,1063.7998,57.6257706,2219.87964,23.2696533,2128.23145,17.8694725,920.605652,6608.85596
1932.95483,6.89029694,3159.46338,94.461441,2496.39746,46.5869904,2580.54736,2444.44604,2209.43701,4207.2417,1898.09802,5746.93701,1611.19702,16.1886215,1908.09961,99.3490219,2788.63916,363.945953,1881.51599,13.6017799,1855.81445,3780.93726,1914.42969,2002.12,1170.94519,66.447258,1340.59192,73.6594238,2121.60352,39.4940376,2436.16113,32.389164,991.702087,4549.71777
1763.66565,4.37498093,2375.698,44.0716743,2208.14941,77.3191452,2836.69238,3111.86304,2098.2981,3203.34424,1737.71387,5269.51563,1259.80371,24.9266624,2280.7478,156.259537,2713.40601,284.802917,2296.57886,40.0185585,1401.96082,3271.38892,1456.86865,757.110107,1285.38611,72.7772675,1021.37329,47.2426414,2254.87939,30.7917595,2076.02979,16.0336494,1580.09534,2773.51147
1747.79895,44.0835953,2529.34692,41.8305397,2324.84351,40.5669212,2549.48145,2535.56958,2446.01953,3791.11768,1846.74268,4667.89014,1327.50269,11.1103058,1912.29578,111.603737,3135.87183,269.603729,2145.79102,23.6988068,1987.74341,3452.5752,1428.58032,2126.74146,1405.39404,46.8254089,1095.96252,81.1457672,2299.01074,16.9038773,2441.23926,11.2771988,893.4021,5579.51904
1775.81311,18.1555748,3330.64795,93.662735,2219.83203,56.20718,2556.15723,3683.53125,2642.58374,2731.64502,1489.48425,5852.22266,1367.0802,21.3503838,1862.26367,76.0197601,2954.6499,226.390366,2299.78564,94.5806503,2131.56934,3860.13989,1825.80945,2865.19531,1296.66333,73.5759735,1264.89404,54.4667244,2180.79102,13.1368637,1927.67383,36.740303,1053.23792,6135.6543
1899.4928,52.8097153,2477.19287,74.5415649,2879.41699,50.4851341,2668.42847,3459.62036,2159.09473,3219.06812,1771.73608,4486.87061,1268.86365,19.5384026,1896.95361,141.608719,2732.11011,126.826767,2129.69775,24.0206718,1207.32788,3248.79883,1671.56458,2305.37646,1266.67017,63.0736351,1082.24158,78.9523163,2383.06519,20.1940536,2645.96948,36.7760658,899.934753,5395.8418
2077.38867,32.6514244,2632.01001,54.3117523,2782.53564,62.6444817,2257.68091,3126.53784,2454.23315,3557.26489,1620.245,4660.7373,1524.90137,16.438961,1626.39624,84.9842987,2887.61865,94.4375992,1969.49243,32.2461128,2101.3855,3775.58472,1080.35803,444.042694,1252.01941,65.1836395,1104.73633,56.3383102,2354.87231,10.5977058,2606.85693,40.9007072,868.880737,5273.77148
1575.38647,21.4338303,3102.75562,53.3461571,2330.01709,39.8874283,2830.93457,2916.33594,2345.00171,1209.33057,1692.41431,5109.14307,1350.91541,32.8183174,2048.30176,168.049332,2953.92285,177.323822,1977.88477,25.7730484,1928.97314,4050.05225,1900.08875,1992.67859,1654.82764,83.6610794,1189.43457,90.6944275,2485.15601,18.6800957,2612.03052,25.510788,908.732422,4375.86328
1536.41699,28.0618668,2536.05835,55.1104546,2628.79126,46.145916,2125.57324,2965.24756,2414.81055,3413.78442,1871.27588,3984.35596,1110.38684,6.02006912,1557.36206,127.93541,3165.76953,417.768951,2599.60889,13.2083893,2084.85132,4197.6333,1739.08472,1897.10852,1317.62024,53.8945198,1031.11267,47.6360321,2494.7644,33.6289406,2215.14697,21.9106674,1002.03754,5075.66943
1606.26172,52.8812408,2617.56177,77.7482986,2391.57666,42.5934792,2268.6123,2685.4873,2402.67505,4086.57788,1839.76892,5952.91846,1454.21033,10.6692314,1819.65833,142.669678,2781.18848,250.482559,2111.95947,57.053566,1970.91101,3721.38013,1835.46545,2202.6897,1251.10144,82.0994415,1073.56311,188.100342,2507.98462,20.647049,2290.74951,25.2246857,1044.17798,5121.875
1427.82922,18.6681747,2563.69116,75.209137,2495.94458,50.4493713,2581.98975,2714.50293,2312.11182,4150.04492,1438.91577,4633.4624,1350.03333,33.1401825,196.993347,48.7446785,2916.18115,261.700165,1890.36133,32.4964523,2045.97717,3970.77808,1806.39026,2721.66724,1337.96936,49.4480133,1033.89026,61.1782074,2181.49414,18.0363655,2215.89795,19.4430351,980.460632,5849.37354
1916.89734,26.5359879,2884.19727,58.4959984,2615.54712,69.1652298,2420.30615,2851.2002,1377.72559,2840.50708,1896.44104,5536.29395,1535.76135,55.4442406,1797.58069,171.279907,3039.37207,223.147873,2270.82959,47.9459763,2182.60278,3346.25244,1833.30774,2286.95874,1376.53345,83.0769501,1063.40649,64.3968582,2326.19043,11.7063522,2141.77368,8.11815262,816.941284,6320.01172
