name,PSR Score
ADI-15591,0.000
ADI-15615,0.000
ADI-15619,0.000
ADI-15622,0.000
ADI-15629,0.000
ADI-15653,0.000
ADI-15555,0.000
ADI-18897,0.000
ADI-18876,0.000
ADI-18893,0.000
ADI-18877,0.000
ADI-18925,0.000
ADI-18921,0.000
ADI-18910,0.000
ADI-18912,0.000
ADI-18931,0.000
ADI-18935,0.000
ADI-18949,0.000
ADI-18952,0.000
ADI-19004,0.000
ADI-19017,0.000
ADI-19005,0.000
ADI-19010,0.000
ADI-18992,0.000
ADI-18966,0.000
ADI-18968,0.000
ADI-18998,0.000
ADI-19001,0.000
ADI-15744,0.000
ADI-15750,0.000
ADI-15967,0.000
ADI-15986,0.000
ADI-15936,0.000
ADI-15942,0.000
ADI-15947,0.000
ADI-15828,0.000
ADI-15850,0.000
ADI-15853,0.000
ADI-15861,0.000
ADI-15898,0.000
ADI-16044,0.000
ADI-16040,0.000
ADI-16041,0.000
ADI-16049,0.000
ADI-16058,0.000
ADI-24235,0.000
ADI-24230,0.000
ADI-24215,0.000
ADI-24199,0.000
ADI-24210,0.000
ADI-24205,0.000
ADI-24192,0.000
ADI-24207,0.000
ADI-24267,0.000
ADI-24274,0.000
ADI-24308,0.000
ADI-24333,0.000
ADI-24332,0.000
ADI-24355,0.000
ADI-24375,0.000
ADI-37123,0.000
ADI-54491,0.000
ADI-45400,0.000
ADI-45365,0.000
ADI-45366,0.000
ADI-45476,0.000
ADI-45407,0.000
ADI-45411,0.000
ADI-45461,0.000
ADI-45459,0.000
ADI-45469,0.000
ADI-54492,0.000
ADI-54493,0.000
ADI-38499,0.000
ADI-45384,0.000
ADI-45463,0.000
ADI-47313,0.000
ADI-45369,0.000
ADI-46676,0.000
ADI-45376,0.000
ADI-45439,0.000
ADI-14449,0.000
ADI-14486,0.000
ADI-14489,0.000
ADI-14514,0.000
ADI-14512,0.000
ADI-14547,0.000
ADI-15581,0.000
ADI-15588,0.000
ADI-15596,0.000
ADI-15620,0.000
ADI-15651,0.000
ADI-15661,0.000
ADI-15559,0.000
ADI-15563,0.000
ADI-18958,0.000
ADI-18895,0.000
ADI-18901,0.000
ADI-18882,0.000
ADI-18891,0.000
ADI-18929,0.000
ADI-18927,0.000
ADI-18944,0.000
ADI-18953,0.000
ADI-18985,0.000
ADI-18972,0.000
ADI-18981,0.000
ADI-18971,0.000
ADI-18996,0.000
ADI-15739,0.000
ADI-15740,0.000
ADI-15969,0.000
ADI-15955,0.000
ADI-15923,0.000
ADI-15934,0.000
ADI-15930,0.000
ADI-15928,0.000
ADI-16016,0.000
ADI-15827,0.000
ADI-16000,0.000
ADI-15882,0.000
ADI-15881,0.000
ADI-15910,0.000
ADI-16032,0.000
ADI-16019,0.000
ADI-16038,0.000
ADI-24224,0.000
ADI-24247,0.000
ADI-24195,0.000
ADI-24250,0.000
ADI-24214,0.000
ADI-24245,0.000
ADI-24196,0.000
ADI-24201,0.000
ADI-24261,0.000
ADI-24324,0.000
ADI-24317,0.000
ADI-24307,0.000
ADI-24364,0.000
ADI-24356,0.000
ADI-37122,0.000
ADI-45362,0.000
ADI-46672,0.000
ADI-54494,0.000
ADI-47130,0.000
ADI-47218,0.000
ADI-45470,0.000
ADI-45396,0.000
ADI-47318,0.000
ADI-47086,0.000
ADI-45453,0.000
ADI-45395,0.000
ADI-47116,0.000
ADI-46696,0.000
ADI-45451,0.000
ADI-45375,0.000
ADI-45444,0.000
ADI-47270,0.000
ADI-54495,0.000
ADI-45373,0.000
ADI-45443,0.000
ADI-47151,0.000
ADI-15970,0.001
ADI-24283,0.003
ADI-45482,0.016
ADI-24338,0.023
ADI-15737,0.023
ADI-24241,0.024
ADI-15592,0.024
ADI-24204,0.025
ADI-15932,0.035
ADI-24327,0.043
ADI-15884,0.047
ADI-15997,0.047
ADI-15810,0.053
ADI-14563,0.053
ADI-45416,0.054
ADI-15865,0.057
ADI-16053,0.072
ADI-24240,0.072
ADI-15867,0.074
ADI-15667,0.082
ADI-45417,0.082
ADI-15858,0.082
ADI-45418,0.083
ADI-15889,0.084
ADI-16060,0.088
ADI-15906,0.100
ADI-16052,0.102
ADI-18965,0.102
ADI-15909,0.105
ADI-24226,0.106
ADI-45423,0.106
ADI-24325,0.107
ADI-24266,0.108
ADI-24213,0.109
ADI-18957,0.109
ADI-15817,0.110
ADI-14546,0.113
ADI-45490,0.117
ADI-15731,0.117
ADI-15971,0.118
ADI-18978,0.125
ADI-15985,0.126
ADI-45424,0.126
ADI-15832,0.128
ADI-15816,0.128
ADI-24334,0.131
ADI-45425,0.134
ADI-16034,0.136
ADI-15801,0.138
ADI-24231,0.140
ADI-15734,0.146
ADI-24233,0.146
ADI-24242,0.149
ADI-15983,0.153
ADI-18969,0.153
ADI-24209,0.170
ADI-15635,0.181
ADI-15648,0.183
ADI-15597,0.185
ADI-15614,0.194
ADI-45427,0.201
ADI-15748,0.215
ADI-15786,0.215
ADI-15623,0.219
ADI-15974,0.229
ADI-15999,0.231
ADI-15589,0.237
ADI-45495,0.238
ADI-24262,0.246
ADI-15963,0.252
ADI-18950,0.256
ADI-45430,0.261
ADI-47311,0.299
ADI-16048,0.308
ADI-45432,0.326
ADI-15975,0.339
ADI-15981,0.360
ADI-15848,0.374
ADI-45434,0.422
ADI-15995,0.443
ADI-24345,0.479
ADI-24357,0.651
ADI-15826,0.663
ADI-24342,0.689
ADI-15989,0.690
ADI-15976,0.694
ADI-45498,0.711
ADI-15946,0.723
ADI-15757,0.749
ADI-18986,0.754
ADI-15901,0.754
ADI-18894,0.772
abituzumab,0.17
abrilumab,0
adalimumab,0
alemtuzumab,0
alirocumab,0
anifrolumab,0
atezolizumab,0.07
bapineuzumab,0
basiliximab,0.4
bavituximab,0.56
belimumab,0
benralizumab,0.35
bevacizumab,0
bimagrumab,0.7
blosozumab,0.21
bococizumab,0.76
brentuximab,0.25
briakinumab,0.56
brodalumab,0.27
canakinumab,0
carlumab,0.21
certolizumab,0
cetuximab,0
cixutumumab,0.66
clazakizumab,0
codrituzumab,0.15
crenezumab,0.1
dacetuzumab,0
daclizumab,0
dalotuzumab,0.4
daratumumab,0
denosumab,0
dinutuximab,0.3
drozitumab,0
duligotuzumab,0.33
dupilumab,0.15
eculizumab,0
efalizumab,0
eldelumab,0
elotuzumab,0
emibetuzumab,0.64
enokizumab,0.13
epratuzumab,0.13
etrolizumab,0.42
evolocumab,0.2
farletuzumab,0
fasinumab,0
fezakinumab,0.26
ficlatuzumab,0
figitumumab,0.38
fletikumab,0
foralumab,0.37
fresolimumab,0
fulranumab,0.19
galiximab,0
ganitumab,0.55
gantenerumab,0.55
gemtuzumab,0
gevokizumab,0
girentuximab,0
glembatumumab,0.17
golimumab,0.23
guselkumab,0.47
ibalizumab,0
imgatuzumab,0
infliximab,0
inotuzumab,0.25
ipilimumab,0.23
ixekizumab,0.81
lampalizumab,0
lebrikizumab,0
lenzilumab,0.66
lintuzumab,0
lirilumab,0.18
lumiliximab,0.14
matuzumab,0
mavrilimumab,0
mepolizumab,0
mogamulizumab,0
motavizumab,0
muromonab,0.18
natalizumab,0
necitumumab,0
nimotuzumab,0
nivolumab,0.14
obinutuzumab,0.11
ocrelizumab,0
ofatumumab,0
olaratumab,0.48
olokizumab,0
omalizumab,0
onartuzumab,0
otelixizumab,0
otlertuzumab,0
ozanezumab,0.77
palivizumab,0
panitumumab,0
panobacumab,0
parsatuzumab,0.13
patritumab,0.52
pembrolizumab,0.3
pertuzumab,0
pinatuzumab,0.01
polatuzumab,0
ponezumab,0.07
radretumab,0.13
ramucirumab,0
ranibizumab,0
reslizumab,0.23
rilotumumab,0.16
rituximab,0.38
robatumumab,0.27
romosozumab,0
sarilumab,0
secukinumab,0
seribantumab,0
sifalimumab,0.06
siltuximab,0
simtuzumab,0.34
sirukumab,0.36
tabalumab,0
tanezumab,0.23
teplizumab,0.31
tigatuzumab,0.13
tildrakizumab,0
tocilizumab,0
tovetumab,0
tralokinumab,0.16
trastuzumab,0
tremelimumab,0.15
urelumab,0
ustekinumab,0.15
vedolizumab,0
veltuzumab,0
visilizumab,0.42
zalutumumab,0
zanolimumab,0.13
