,BSA_LC_HC,E,HI,pro_asa_hph,pro_asa_hyd,pro_cdr_net_charge,pro_net_charge,pro_dipole_moment,pro_hyd_moment,pro_patch_cdr_hyd,pro_patch_cdr_pos,pro_patch_cdr_neg,pro_patch_hyd,pro_patch_pos,pro_patch_neg,pro_pI_3D,pro_zeta,ASA_Hyd/Zeta
brentuximab,826.84058,-7131.228,0.40600598,4133.8428,5320.6895,-7.0531058,-4.379415,487.10522,300.4375,340,150,290,400,510,530,4.8686523,-28.317619,-187.893
briakinumab,878.98956,-8591.7705,1.1702659,4225.0566,5128.2588,1.1522093,8.0027208,600.87897,781.13904,100,370,50,180,480,190,9.4223633,52.371098,97.922
brodalumab,753.19257,-8374.3994,0.69874668,4234.3862,5275.853,0.79211581,4.7994566,407.52811,314.03149,190,250,90,370,480,180,9.1879883,31.267433,168.733
canakinumab,799.36029,-8285.1768,0.75900733,4283.5659,5293.2515,-3.2728808,1.1385795,258.95255,133.90897,180,140,220,390,620,440,7.737793,7.4334593,712.085
carlumab,867.60144,-7726.2905,0.83659798,3877.2251,5406.9937,-3.4693706,-1.0197459,333.14755,372.53946,150,50,190,370,250,420,6.7416992,-6.756175,-800.304
certolizumab,782.08789,-7717.2051,1.8381687,3922.3711,5489.0566,-4.5699711,0.076010793,109.0499,305.25406,390,90,140,640,420,290,7.605957,0.49727657,11038.237
cetuximab,780.35358,-8251.1328,0.54805315,4218.3574,5226.8418,-4.9759789,2.6915855,444.83505,318.60999,250,50,100,550,270,280,8.206543,17.534176,298.095
cixutumumab,772.18359,-8280.8242,1.5190543,4347.2212,5808.9785,0.80440491,-0.25627378,411.12216,536.22137,370,300,130,440,440,420,7.1665039,-1.6212449,-3583.036
clazakizumab,915.40076,-8453.5156,1.1594085,4204.4258,5003.5923,-8.0998735,-0.8763274,295.45297,364.54099,120,150,250,340,360,380,6.565918,-5.7698774,-867.192
codrituzumab,732.58588,-7892.502,1.3513576,4166.8809,5370.9473,3.2484713,5.3280606,317.05618,506.06818,150,240,100,360,580,310,8.543457,34.08102,157.594
crenezumab,655.79596,-7805.0078,0.71560347,4111.3315,5260.6885,1.1028296,-0.20033424,313.24515,319.948,110,50,120,310,170,280,7.1518555,-1.3030723,-4037.142
dacetuzumab,720.38721,-8029.0874,1.1702726,4177.0811,5178.8311,3.3078527,5.3900275,114.19245,297.58456,170,170,90,420,470,180,9.3344727,35.016499,147.897
daclizumab,887.96991,-7445.2432,1.0960174,4034.6553,5194.8086,0.54922599,3.5452452,333.3555,541.58636,90,400,190,250,680,360,8.7924805,23.393272,222.064
dalotuzumab,806.06824,-8085.2295,1.2166286,4017.1401,5589.0024,0.7775743,4.9669623,306.22894,438.55743,160,140,40,380,410,150,8.909668,31.791197,175.803
daratumumab,853.06464,-8180.5381,0.89530587,3830.6375,5487.8682,-2.9157159,0.21329343,253.36041,186.16692,340,110,90,670,330,270,7.6352539,1.4087778,3895.482
denosumab,802.52502,-8502.9785,0.82858026,4128.5845,5401.8354,1.3473841,3.1688704,393.59048,200.35701,140,250,90,470,500,230,8.6606445,20.597031,262.263
dinutuximab,677.68524,-7644.1431,1.724229,3883.9292,5644.2065,4.4256744,3.3561237,457.29468,323.47824,80,170,0,380,540,200,8.4702148,21.734997,259.683
drozitumab,770.23425,-8394.6807,1.5479289,4200.2036,4942.9126,-5.9169264,-1.4473058,349.45544,560.15479,260,150,140,360,280,390,5.7192383,-9.5389996,-518.179
duligotuzumab,856.10101,-7915.6929,1.0670325,3986.9846,5312.6401,-9.9039869,-4.4366875,397.27408,362.48175,200,50,310,430,430,410,4.8813477,-29.118299,-182.45
dupilumab,929.56281,-9009.4268,0.86991966,4173.6069,5500.5024,0.7877385,0.2712549,367.51953,213.28061,290,160,40,450,350,280,7.6645508,1.7409247,3159.529
eculizumab,892.56281,-7802.7593,1.2867962,4249.0566,5507.1787,-9.0761299,-1.8681885,565.35303,445.83603,270,90,370,450,570,500,5.6938477,-11.983742,-459.554
efalizumab,904.34601,-8088.2373,1.6327784,4130.5098,5401.1226,1.7867301,3.592416,92.144928,525.53015,120,400,130,360,730,270,8.6459961,23.304321,231.765
eldelumab,815.75861,-8610.2676,0.68500185,4052.3633,5604.3599,-3.5207057,2.2338786,271.21109,230.96358,390,70,150,500,340,240,7.8696289,14.230545,393.826
elotuzumab,875.17255,-8000.0884,1.166865,4013.9023,5444.8418,-5.7451754,-1.0766261,178.88144,351.98254,250,180,170,500,440,330,6.2905273,-7.049191,-772.407
emibetuzumab,796.58478,-8007.3115,1.0088689,4015.4297,5195.4189,1.1752052,5.5401111,455.99612,667.0343,180,190,70,260,630,210,9.1147461,36.647285,141.768
enokizumab,1065.8674,-7461.269,1.5769614,4015.4526,5430.27,-5.2780294,-0.96206826,412.89706,291.04431,330,190,170,540,480,420,7.2543945,-6.2809553,-864.561
epratuzumab,853.83032,-8061.2568,0.89344013,4639.2612,5335.2759,0.3079606,2.7704916,320.02344,448.34143,140,190,210,290,630,500,8.6459961,17.61792,302.832
etrolizumab,788.10144,-7892.7378,1.454113,4121.4429,5052.7163,-5.1797285,2.0263712,379.09241,409.85379,130,150,230,410,370,330,7.9135742,13.385485,377.477
evolocumab,722.8551,-7334.645,0.62890667,4289.8672,5197.1699,-5.7080145,0.066488504,226.97226,296.11191,190,50,110,190,410,410,7.5766602,0.46418869,11196.244
farletuzumab,741.96039,-7496.3115,0.71607518,4086.0493,5475.6436,-5.24193,-0.009718721,266.30106,174.56493,240,40,190,340,370,370,7.3862305,-0.047901865,-114309.612
fasinumab,923.39941,-8178.1597,1.0508,4091.7114,5615.0981,-4.9481196,-1.409321,803.00696,334.90125,280,150,510,440,570,640,5.9350586,-9.0747843,-618.758
fezakinumab,827.41479,-8321.1855,0.93418127,4100.3569,5288.5469,-8.1745377,-2.2603316,735.09607,418.28439,380,200,220,430,440,400,6.7124023,-14.558808,-363.254
ficlatuzumab,839.3338,-8072.2036,0.69426477,4306.9487,5164.5962,-2.8934462,-0.34368071,421.16608,348.24017,160,140,40,410,430,280,6.9760742,-2.2446234,-2300.874
figitumumab,852.27838,-8633.4336,0.43934265,4099.6997,5535.7168,-0.19730963,3.042886,231.84349,242.44769,200,230,140,450,520,250,8.7045898,19.632923,281.961
fletikumab,893.25952,-8329.8525,1.2093945,4481.5054,5392.6943,-9.6687145,-2.1127334,468.81693,265.33112,170,80,290,260,400,460,6.3540039,-13.510574,-399.146
foralumab,853.58765,-8492.9326,0.46337605,4070.3899,5376.9824,1.7991673,7.6135359,593.36084,343.92975,340,240,150,520,610,250,9.5395508,49.916794,107.719
fresolimumab,719.44244,-8133.5615,2.0981376,4104.5645,5541.5039,0.10307896,-1.3702439,287.04843,715.89301,430,190,190,620,480,390,5.4145508,-8.8486757,-626.252
fulranumab,861.8244,-8144.2729,0.76200062,4051.677,5253.7314,-3.6725478,2.6956763,281.02246,85.5672,160,200,100,410,570,230,8.2504883,17.575806,298.918
galiximab,1077.2675,-7255.2378,1.8536861,3233.2878,6210.7856,-5.7679181,-3.2386923,214.11916,447.14178,450,210,90,700,510,290,5.9477539,-20.785023,-298.811
ganitumab,761.74054,-7705.3149,0.78782481,3925.4998,5527.5288,-0.18404776,3.0999141,400.44907,607.0498,190,180,80,400,320,270,8.3823242,20.04734,275.724
gantenerumab,929.42456,-8533.2549,0.68570161,4146.5439,5369.3994,4.3680472,6.6464887,504.8244,227.53947,220,190,70,420,390,250,9.2319336,43.038509,124.758
gemtuzumab,711.24585,-8019.729,1.0670551,4134.6338,5569.459,-0.1430766,0.023837052,306.8613,455.1481,370,110,160,600,370,300,7.4741211,0.16219978,34337.032
gevokizumab,875.04034,-7681.5361,0.29848701,4420.6885,4996.6138,-2.6182103,4.4443355,272.82361,416.4563,240,200,260,380,620,370,9.2172852,28.713041,174.019
girentuximab,937.90405,-8408.0898,0.73283088,4037.3984,5008.3511,0.87688863,3.0798705,278.66208,389.98203,230,170,100,480,450,150,8.5727539,20.301149,246.703
glembatumumab,750.64081,-7721.2578,0.58160323,4063.7437,5320.7812,0.10533207,3.113637,135.35402,460.63965,300,140,130,460,350,170,8.3530273,20.436356,260.359
golimumab,958.69727,-8907.8623,0.72620857,4071.5815,5455.2012,0.25098285,4.6284943,458.18533,316.4502,270,90,40,360,360,160,9.0854492,29.846024,182.778
guselkumab,873.45172,-7002.5352,0.38586402,4018.4067,5327.5967,-0.25316307,3.6181121,353.82001,302.06946,290,220,100,410,390,350,8.8071289,23.687609,224.911
ibalizumab,734.59222,-8398.2373,0.34179336,4277.9082,5584.335,-2.4086831,-0.11965754,260.34503,489.3031,190,250,300,370,440,560,7.371582,-0.81858248,-6821.958
imgatuzumab,865.30066,-8038.8291,0.59926397,4192.0747,5222.3711,0.20689361,6.4915252,218.66074,286.19318,60,150,0,190,430,230,9.1733398,42.616604,122.543
infliximab,774.02771,-8432.4756,0.73781449,4067.5754,5262.585,-0.78452736,-2.641381,546.90247,189.63126,240,120,40,460,220,210,5.4526367,-17.156458,-306.741
inotuzumab,1019.5566,-8342.0078,0.82776624,4366.6323,5308.7905,3.6024458,4.2344127,328.74155,483.41769,200,80,40,390,500,290,8.9243164,26.796722,198.113
ipilimumab,763.72559,-8445.4473,0.73537278,4363.21,5196.4575,0.72203499,4.5219393,315.64041,216.43042,160,140,150,460,580,230,9.1586914,29.483034,176.252
ixekizumab,792.85754,-8386.6826,1.0224962,4244.856,5720.9878,2.9959416,5.1131787,345.35321,285.90729,340,210,150,550,410,400,8.8657227,31.981684,178.883
lampalizumab,614.56226,-7792.9077,1.5866419,4098.4927,5282.3926,-10.614492,-4.9104433,797.66205,195.36696,130,60,450,400,500,590,4.5893555,-32.154537,-164.281
lebrikizumab,818.76337,-8059.3853,0.44842178,4028.8521,5634.0454,-4.732482,-3.4203725,374.7124,355.32776,400,50,120,510,380,320,4.8305664,-22.031431,-255.728
lenzilumab,826.15253,-8863.4131,0.60788405,4286.043,5150.8726,5.9940515,9.7698412,360.91605,248.13617,140,390,0,370,590,130,9.612793,63.341778,81.319
lintuzumab,728.98749,-7769.4648,0.94435787,4347.355,5314.3398,-0.30698425,2.7518682,269.95749,402.16446,240,220,210,470,580,380,8.1772461,17.75552,299.306
lirilumab,972.02783,-7949.6304,1.8903983,3766.0537,5660.2969,-1.5092936,1.4661466,55.737007,365.73016,320,130,80,470,250,290,7.8256836,9.4859571,596.703
lumiliximab,764.9007,-8501.5811,1.1068828,4524.5249,5142.8413,0.47477373,1.278029,176.6813,363.40457,140,230,110,350,610,260,7.7963867,8.2834587,620.857
matuzumab,775.77264,-7882.1992,0.94178373,4290.8833,5365.4048,-4.8194699,0.023052169,363.03232,508.27283,210,200,130,420,520,270,7.4155273,0.12998866,41275.945
mavrilimumab,837.72174,-7476.7969,0.88860083,3971.2039,5723.1909,-5.7988629,-6.04637,506.31122,194.55426,280,180,390,330,380,650,4.9321289,-39.261402,-145.771
mepolizumab,806.41534,-8290.4316,0.43311459,4088.156,5639.0801,-0.22605217,3.0789604,380.91132,249.21965,210,100,140,290,430,330,8.1625977,19.721447,285.936
mogamulizumab,795.37811,-8541.4229,0.87887639,3984.1943,5843.8955,0.87920141,1.2007039,404.39301,177.50026,260,110,90,540,330,350,7.8256836,7.6532493,763.584
motavizumab,809.51489,-7462.4551,1.203711,3950.7874,5533.7104,-5.0455794,4.3678827,316.63852,362.89984,320,270,200,380,640,340,8.9682617,28.312384,195.452
muromonab,784.34369,-7578.1602,0.82301188,4395.5205,5260.7817,-4.0584493,6.1690831,336.91208,533.58893,90,360,90,250,700,200,9.1879883,39.970802,131.616
natalizumab,893.05933,-8419.9756,1.1685252,4248.5913,5324.0205,-2.6655457,3.0622096,206.32071,561.93011,110,350,170,320,700,350,8.206543,19.653528,270.894
necitumumab,754.90912,-7436.0596,0.36742204,4251.3008,5275.0254,-2.8139379,1.2742795,296.11884,109.46101,140,130,130,330,460,270,7.7817383,8.3139696,634.477
nimotuzumab,808.20465,-8447.167,1.5075828,4460.8887,5323.9365,0.72949499,3.2770958,228.29393,291.64426,150,150,160,310,440,360,8.5288086,20.918571,254.508
nivolumab,759.62659,-8633.5254,0.9584102,4143.9976,4908.5361,0.41090813,2.4212046,373.42932,396.99521,0,180,130,290,570,230,8.8071289,16.175827,303.449
obinutuzumab,803.98199,-7952.3901,0.49908939,3993.8721,5631.4292,0.40093192,1.1855968,316.00522,353.26801,230,250,230,500,560,400,7.6352539,7.5419116,746.685
ocrelizumab,920.64435,-7649.5723,0.90077096,4054.3794,5307.4424,0.65247911,3.2242177,260.14502,353.49786,170,150,90,380,400,280,8.543457,20.981272,252.961
ofatumumab,816.94208,-8738.6367,0.43098766,4202.1572,5336.2627,-4.0961342,1.1616435,365.28235,252.95517,280,90,130,460,330,310,7.737793,7.5606771,705.792
olaratumab,826.51398,-8282.4609,0.55956548,4265.2808,5552.7397,1.81665,3.3091733,245.02354,604.98657,240,170,110,460,300,230,8.074707,21.008278,264.312
olokizumab,762.92639,-8458.5645,0.50477082,4453.5835,5272.2783,-8.5252972,-2.115799,310.49622,615.35638,230,50,140,500,360,280,5.0844727,-13.620332,-387.089
omalizumab,777.07257,-8182.1143,1.1134347,4530.6567,5320.022,-7.4888577,-3.1962814,505.02234,576.4165,190,130,240,470,470,370,5.6938477,-20.442917,-260.238
onartuzumab,917.45239,-8228.1924,0.74339908,4478.7642,5296.5732,0.37454021,2.0144191,236.27435,425.51804,330,120,150,600,570,290,8.1333008,12.867255,411.632
otelixizumab,795.02747,-8780.4189,1.846702,4169.4653,5274.2227,-3.8315299,-1.145143,571.79565,741.86981,110,100,240,380,240,340,5.9350586,-7.393981,-713.313
otlertuzumab,749.25983,-7344.8057,0.93103766,3966.261,5524.1162,0.66003501,1.8700918,332.72775,400.27005,240,230,190,460,530,460,8.0014648,12.171601,453.853
ozanezumab,658.85095,-8061.1748,0.54431707,4046.8933,5789.188,3.7410612,5.5314012,129.12721,425.49866,330,270,40,620,560,250,8.9682617,35.399792,163.537
palivizumab,854.45538,-7263.6772,0.86061591,3798.9504,5480.5415,-4.2801299,3.7802424,406.83521,259.69507,200,90,70,310,440,180,8.777832,24.756931,221.374
panitumumab,759.3764,-7513.9478,0.37766626,4205.9487,4927.4238,-6.6181397,-1.8207358,409.58087,346.1994,0,150,190,160,500,330,5.8842773,-12.046733,-409.026
panobacumab,934.29962,-9150.7148,0.43269706,4020.7317,5479.3306,0.064080954,3.5783634,97.303955,694.63745,220,120,50,380,330,180,8.4116211,23.030743,237.914
parsatuzumab,933.89478,-8866.9609,0.37787801,4183.2305,5497.1294,-4.0474758,1.2864054,479.30011,335.69354,190,310,300,420,620,360,7.7084961,8.219121,668.822
patritumab,861.30438,-8454.0547,0.8569783,4332.0029,5277.3306,0.30555344,3.5713243,351.90671,681.94019,210,180,90,500,370,330,8.2358398,22.891962,230.532
pembrolizumab,758.54797,-8408.6982,1.12892,3997.2771,5601.2378,0.96377283,2.7686281,256.66931,393.88788,200,140,110,420,290,280,8.4116211,17.794455,314.774
pertuzumab,800.88348,-8241.9209,0.50022548,4065.8867,5343.6333,-4.6666985,2.3696909,225.85233,218.09166,280,270,0,530,570,140,8.4116211,15.437091,346.155
pinatuzumab,810.77008,-8453.1553,0.58591831,4378.541,5250.415,-0.050099723,0.17686608,264.14609,404.77628,140,130,190,370,520,290,7.5620117,1.1298155,4647.144
polatuzumab,743.45789,-8282.2627,1.0369446,4042.6904,5548.9014,-8.3288679,-4.3430362,550.87842,401.0491,240,210,400,510,490,490,4.9448242,-28.040482,-197.889
ponezumab,718.80444,-8691.4854,1.3847642,4216.2046,5678.1533,1.0289656,4.9183078,116.12923,292.79111,310,270,250,480,510,380,8.8071289,31.441938,180.592
radretumab,708.92133,-7958.0317,0.65913153,4021.5054,5524.5117,0.73111081,2.3863058,294.40512,202.68005,380,150,60,600,420,270,8.2358398,15.665869,352.646
ramucirumab,733.71448,-7629.436,0.46182102,4086.5461,5436.2246,-5.8546605,2.2691026,392.22794,241.71495,200,80,270,530,350,420,8.5727539,14.849631,366.085
ranibizumab,861.4754,-7676.0132,1.2568604,4070.344,5549.041,-7.6269689,-1.0104284,345.00101,309.25052,430,200,280,660,610,340,6.3032227,-6.4761362,-856.844
reslizumab,721.04565,-7878.9248,0.60767043,4302.126,5333.6328,-6.0304365,-0.27154616,254.78864,216.99315,260,150,150,540,610,320,7.0053711,-1.7719829,-3009.98
rilotumumab,844.23041,-7902.0601,0.81000763,3830.3677,5343.1753,-3.3677056,3.7005081,158.13599,126.03027,230,90,60,410,440,110,7.972168,24.168354,221.081
rituximab,844.09363,-6753.9282,0.76066792,4108.5801,5445.0303,1.064393,8.1671658,154.1368,393.55551,180,220,50,290,510,150,9.5102539,53.3424,102.077
robatumumab,869.87268,-8260.7109,0.88766938,3968.5466,5070.5698,0.33460155,3.9728045,309.4483,271.40265,210,210,120,330,510,320,9.0708008,26.359766,192.36
romosozumab,858.57233,-8437.1309,1.5094442,4395.6606,5448.0908,-7.075542,-2.1678424,688.27789,499.34384,160,170,240,270,610,380,5.0083008,-13.796828,-394.88
sarilumab,689.64716,-8098.4375,1.0685225,4160.6431,5212.1992,-0.27524313,0.83148408,350.87973,177.78523,110,200,310,350,460,550,7.4741211,5.4447374,957.291
secukinumab,1013.5865,-9129.7168,0.74395889,4209.4614,5277.8311,-4.2846808,-1.1168202,252.96184,349.42743,230,110,160,440,450,330,6.8881836,-7.1493559,-738.225
seribantumab,970.59003,-7489.0205,1.0387436,3675.1963,5695.2588,-5.9871559,2.9280434,353.9715,233.49229,440,100,50,590,280,150,8.309082,19.007032,299.64
sifalimumab,658.9234,-8238.9268,0.79053855,4402.2793,5267.377,1.5444424,5.5306721,182.47931,166.411,160,180,40,330,480,170,9.2758789,35.953358,146.506
siltuximab,823.14679,-7376.457,1.0613927,3590.3652,5625.8076,-7.4386964,1.3041109,242.75937,240.31821,350,40,80,560,380,210,7.7963867,8.6170158,652.872
simtuzumab,836.47076,-7798.8369,0.80469173,3862.2417,5796.6104,0.95868826,4.4704609,203.83005,233.1954,230,160,140,360,350,180,8.675293,28.722818,201.812
sirukumab,742.59296,-7299.0952,1.2200367,3661.9819,5661.1611,-5.5261188,-1.8623729,272.7858,182.82037,440,90,210,510,300,370,5.3256836,-12.202609,-463.93
tabalumab,916.36755,-8282.0068,0.52827811,4147.8062,5363.8545,0.20404963,4.5584855,147.64984,478.59769,80,150,90,310,460,170,9.0268555,29.398926,182.451
tanezumab,867.6261,-7725.6851,0.88627344,3982.8508,5534.1748,-4.277132,2.8835618,207.41914,375.00961,270,50,40,460,430,190,8.206543,18.582487,297.817
teplizumab,861.19415,-8619.0264,1.2867681,4135.3086,5177.5981,-3.6698301,6.3137226,569.79474,716.06415,0,180,210,160,540,270,9.1733398,41.09338,125.996
tigatuzumab,933.04547,-8092.1372,1.1386893,3837.0957,5531.3145,1.1230206,2.0205102,271.99518,257.65399,150,0,120,420,330,270,7.9575195,13.31044,415.562
tildrakizumab,686.76007,-7473.5454,1.530794,4223.3726,5326.5068,-5.2661185,2.7274585,398.59814,565.25525,320,170,190,520,550,410,8.3969727,17.71958,300.6
tocilizumab,965.61389,-8276.8086,0.8833077,4222.0728,5109.0723,-0.1694613,6.4660363,258.82193,275.45215,200,210,90,420,450,140,9.5834961,42.497734,120.22
tovetumab,719.841,-8379.5332,0.74007499,3937.5745,5368.1411,-0.17517498,6.7255039,221.93184,309.98792,140,200,140,350,430,200,9.3491211,44.464306,120.729
tralokinumab,818.34991,-8522.6777,0.76579362,4222.8042,5467.9126,-9.9997015,-1.7490861,241.7682,441.36652,310,70,280,470,380,430,5.262207,-11.236046,-486.64
trastuzumab,764.53735,-8255.7676,1.0696524,4232.2856,5272.8623,0.49049005,1.5775114,216.39265,388.88623,140,290,50,440,640,200,8.309082,10.312408,511.312
tremelimumab,789.29083,-8398.9385,1.3490415,4553.5063,5235.4053,-3.6854641,5.716804,346.93613,346.08408,300,170,70,420,510,180,8.9536133,36.649265,142.852
urelumab,906.89728,-8082.2119,0.73002207,4390.1807,5447.7998,-5.1548438,-0.41183063,370.77618,520.2934,260,140,200,520,380,420,6.9174805,-2.6203876,-2079.005
ustekinumab,817.42468,-7514.23,0.94919384,4045.1663,5479.9482,0.61720568,2.4530714,102.52245,211.27242,100,90,150,380,470,370,8.5141602,15.989751,342.716
vedolizumab,932.45215,-8243.6602,0.58372068,4201.6465,5479.9556,-2.9395168,-0.38671172,315.5303,398.29767,160,180,160,360,510,310,7.034668,-2.4696963,-2218.878
veltuzumab,923.81134,-7116.2656,1.8930577,4138.7935,5268.1182,0.52921009,1.8546948,360.27423,463.11539,240,120,110,390,460,440,8.1333008,12.134852,434.131
visilizumab,899.26477,-7444.6924,1.0245275,4065.8958,5124.8789,-4.3493595,5.6814456,490.98685,438.40762,120,190,180,300,540,370,9.0854492,37.050438,138.322
zalutumumab,876.34796,-8510.209,0.67089063,4144.187,5426.3838,-5.9281425,3.3400896,471.86267,212.92059,210,100,260,400,480,410,8.3676758,21.590773,251.329
zanolimumab,746.34833,-6980.374,1.3396146,3889.5288,5468.4468,-3.43294,3.0718021,356.97668,188.46579,240,50,0,590,490,90,8.3823242,20.100159,272.06
