name,BSA_LC_HC,E,HI,pro_asa_hph,pro_asa_hyd,pro_cdr_net_charge,pro_dipole_moment,pro_hyd_moment,pro_net_charge,pro_patch_cdr_hyd,pro_patch_cdr_pos,pro_patch_cdr_neg,pro_patch_hyd,pro_patch_pos,pro_patch_neg,pro_pI_3D
ADI-15960,929.90112,-1604.0443,0.90804315,3906.6035,5707.1006,-3.9076512,287.6507,298.73654,5.1679878,360,240,110,600,730,270,9.1879883
ADI-15962,694.73077,-1521.1316,1.0701634,4319.7705,5206.4727,-5.2076058,322.13989,330.81015,1.2268944,0,60,260,170,410,410,7.7670898
ADI-15964,782.841,-1739.2391,0.89711171,4215.9541,5654.9043,0.24500626,97.551476,50.519356,2.8854277,340,220,240,450,640,400,8.440918
ADI-16001,866.02905,-1596.5807,0.85381663,4370.1855,5673.1758,0.60698277,300.28979,590.27112,2.2614422,170,210,100,310,620,270,7.9428711
ADI-15830,833.13098,-1592.5083,0.36873245,4076.126,5983.8145,0.22578786,341.19067,337.14404,1.9056085,330,180,210,600,340,400,8.0161133
ADI-15835,924.00403,-1498.8374,0.64812785,4331.7612,5622.4673,-3.7427344,400.65298,335.68362,4.5207095,180,250,90,330,520,320,8.7631836
ADI-15900,833.11652,-1476.5597,0.81445378,3960.6895,5645.8379,1.8431298,183.24454,354.17953,2.1393049,300,200,100,520,530,230,8.0014648
ADI-15903,942.55914,-1591.4216,2.0332129,4039.1582,5801.5898,0.64568675,204.6745,408.34805,2.1837375,370,110,40,550,390,140,8.1479492
ADI-16030,878.93848,-1540.599,0.93848187,4366.395,5263.4624,2.2331188,121.03017,325.08286,3.7133021,110,380,90,320,640,300,9.0268555
ADI-16042,981.39636,-1618.2839,1.2308928,4134.4644,5926.2788,-0.58784771,493.64664,448.90775,2.7959602,260,90,110,440,400,250,8.2797852
ADI-16059,667.98718,-1386.4625,0.72174674,4242.8442,5460.0708,-4.772306,204.79346,532.44995,2.8885307,250,80,0,550,350,130,8.1186523
ADI-24273,867.50549,-1396.7294,1.1083394,4141.626,5540.6074,1.8528897,358.2807,346.6001,4.6037555,180,340,100,360,590,290,8.6459961
ADI-24292,816.0379,-1500.4324,0.67686844,4159.3789,5690.9849,-5.059639,461.41721,369.5983,3.0844266,340,230,100,440,460,320,8.2358398
ADI-24264,1007.3105,-1514.001,0.81176567,4521.2334,5497.3423,-1.700851,106.7399,623.36249,2.6907721,180,220,110,330,490,320,8.2358398
ADI-24361,955.54926,-1374.6792,1.5653757,4114.0229,5702.5767,-7.3918366,324.61273,417.18338,2.5171661,360,190,180,360,460,290,7.7231445
ADI-24348,746.84076,-1499.9642,1.3100257,4153.311,5239.8979,0.17609878,133.15021,401.25635,2.349273,170,130,160,430,350,220,8.3969727
ADI-24336,864.42041,-1344.1033,0.64546794,3782.0842,5331.9478,-0.46582103,394.42188,399.72186,3.16588,70,240,160,290,670,300,8.6166992
ADI-24306,825.93811,-1342.1592,1.0045058,4051.1829,5365.646,-3.54844,256.97266,297.43414,2.0453525,270,90,40,510,360,140,7.972168
ADI-24376,809.97302,-1602.4733,1.0926803,4307.7305,5636.7285,-6.037827,314.69885,202.72736,0.42338398,300,220,150,430,380,440,7.737793
ADI-24360,846.71313,-1610.1906,1.256963,4198.5112,5630.0244,-6.2240372,275.54233,153.87738,2.0241585,400,130,40,500,330,370,8.1186523
ADI-24326,704.77399,-1253.2935,1.1956526,4330.1436,5633.46,-6.3651323,175.63351,108.10561,-1.4016558,410,90,90,410,430,260,6.8442383
ADI-24346,662.04224,-1355.499,0.8843962,4054.3132,5278.8438,-6.9689679,497.03333,324.57278,-5.0638456,150,40,390,200,310,560,4.5385742
ADI-45471,970.30182,-1552.8596,0.61777025,4228.8413,5354.5718,-7.9806843,713.05621,503.49683,-3.2658353,200,110,260,390,330,350,5.503418
ADI-45479,875.73828,-1381.9745,0.39747488,4042.7314,5372.4404,-3.1756647,137.43011,52.277287,0.67535329,110,120,190,370,460,290,7.8110352
ADI-47104,904.17755,23.174181,0.60269433,3995.0295,5509.3501,-1.9349796,372.12442,592.22107,0.40344781,370,130,130,540,390,300,7.5766602
ADI-45460,1001.0066,-1520.3108,1.1647944,3967.7661,5002.9893,-5.9973626,388.55991,406.69708,-0.036253452,70,160,230,240,280,330,7.371582
ADI-46698,764.55151,-1478.3419,1.3401394,4123.915,5489.271,0.086808361,241.12129,345.73099,1.8419926,200,0,40,530,320,170,8.074707
ADI-45388,839.50397,-1547.6018,0.48808503,4270.2007,5606.2725,1.6140089,445.46133,401.37079,2.2347059,100,170,80,350,390,220,7.8989258
ADI-45455,971.75122,-1526.9347,0.95988965,4320.6934,5126.207,-5.1567492,243.09267,103.12568,-2.2203443,150,50,80,450,190,240,5.9223633
ADI-46694,827.1142,-1500.0553,1.5742414,4079.1809,5681.3203,0.31699526,180.48807,327.18793,4.3051639,190,90,100,300,440,150,8.8510742
ADI-45466,778.69598,-1235.9363,0.34639275,3969.3909,5175.2866,-0.31883579,200.24207,283.39813,6.121717,220,180,40,360,450,130,9.1879883
ADI-45458,821.22882,-1409.623,0.67020166,4077.1873,5271.5112,-5.7153335,285.39212,188.98984,2.1575408,110,140,90,210,360,220,8.1040039
ADI-46682,875.92944,-1603.2654,1.5054872,3854.6023,5309.7188,-2.2627907,125.05331,346.30615,0.39258611,210,110,210,530,400,360,7.9282227
ADI-45442,967.39081,-1515.3712,1.1064632,4013.4978,5118.978,1.5572368,281.76852,338.85785,3.0917957,50,100,160,350,350,270,8.6899414
ADI-46675,967.68994,-1501.8578,0.3998735,4047.9175,5498.2559,-5.7057433,570.62616,533.70197,3.7955191,210,120,40,360,360,240,9.012207
ADI-46679,773.80646,-1560.7012,1.9496126,4150.2095,5739.6143,-4.977386,285.25125,520.50317,0.4163799,240,50,120,540,150,320,7.8256836
ADI-45371,725.60913,-1492.9868,0.33735681,4074.4475,5542.3115,-0.13291097,379.1333,511.79315,4.5453081,190,140,200,440,420,370,8.9536133
ADI-14457,942.06396,-1497.5121,0.77839851,4207.1016,5479.106,0.19741154,288.24164,201.15131,5.6393056,70,180,160,260,630,220,9.2026367
ADI-14442,834.69989,-1483.5627,0.69640464,4348.1372,5910.0254,-0.19471493,183.136,292.32248,6.0995622,190,200,80,420,510,210,8.777832
ADI-14450,917.4483,-1521.3833,0.64477164,4294.0503,5396.064,-5.1510835,577.63599,557.55865,-0.25282976,190,90,220,390,420,310,7.1958008
ADI-14441,774.56458,-1260.355,1.3045961,4312.9077,5405.6016,-3.0168023,351.48447,271.90372,-2.2033486,220,130,270,520,380,310,5.0083008
ADI-14463,774.10553,-1505.3527,0.98975104,3677.7153,5956.2959,-7.6802335,289.90289,105.66371,4.0348544,350,110,160,710,380,300,8.0454102
ADI-14464,760.76379,-1472.3174,0.88607007,3968.5759,5559.4521,-0.027530847,44.074547,325.37262,3.0900121,70,50,0,250,350,190,8.5288086
ADI-14459,919.67871,-1438.4016,1.1996779,4344.8042,5460.3296,0.091850087,162.32706,681.94641,-1.2753121,80,150,120,270,450,450,7.1225586
ADI-14462,852.52783,-1595.3784,0.97017926,4101.0415,5358.9438,-6.8424473,191.71416,603.79614,4.7399611,280,130,290,440,410,380,8.9829102
ADI-14484,945.15472,-1545.3002,0.88667154,4128.2729,5539.6377,0.16519792,289.67081,196.35388,5.6055408,90,110,150,290,560,250,9.0268555
ADI-14473,825.54181,-1364.0133,1.1489019,4376.5005,5582.8276,-0.25590098,220.33083,475.34497,-0.30101207,150,240,270,430,460,580,6.9467773
ADI-14505,728.67261,-1474.0436,0.34358558,4479.812,5699.9277,-3.8842204,319.50327,262.46741,1.2863015,260,150,100,460,560,420,7.6938477
ADI-14500,841.46033,-1514.3903,1.0002518,4338.7769,5331.7505,-0.044922616,344.84827,606.19617,-2.5306454,80,170,160,280,400,320,5.4526367
ADI-14509,870.20801,-1407.5229,0.59463125,4007.385,5798.0811,-1.0201361,343.5311,340.54633,4.2832317,210,120,170,390,440,210,8.0161133
ADI-14504,756.18317,-1615.9822,1.2134142,4090.4634,5353.1826,-0.064984106,335.46292,473.69171,2.3851829,260,220,160,520,590,300,8.0893555
ADI-14478,761.83167,-1535.9794,1.0753554,3940.3127,5722.751,-7.9183755,312.36368,453.21198,-0.57948232,100,80,220,170,370,310,6.5073242
ADI-14518,779.29279,-1525.3719,0.33310017,3980.7422,5735.521,-0.78528219,243.81662,335.41473,2.6837785,130,80,40,390,410,220,8.0307617
ADI-14524,777.53088,-1674.1895,0.51657623,4188.4863,5479.7222,0.75454021,322.91965,187.82541,-0.12723972,240,140,210,350,430,470,6.4555664
ADI-14545,868.39038,-1491.3414,1.7466559,4067.5854,5725.1343,1.452628,354.78259,239.53917,3.2951562,330,130,210,510,460,310,8.5727539
ADI-14550,723.00958,-1553.9131,0.26616821,4410.2603,5840.4067,-3.1854558,449.97455,490.95306,4.504868,460,180,390,730,460,510,8.7338867
ADI-15590,967.51105,-1579.6918,1.7117239,4333.3662,5458.187,-11.708477,484.66565,559.76849,-1.2147318,200,40,350,540,350,450,5.6049805
ADI-15591,922.57849,-1562.8232,0.20589107,3879.8105,5522.2407,-7.2290244,422.31168,640.42444,-2.4411232,250,0,110,320,250,300,6.1254883
ADI-15615,895.5965,-1431.0454,0.66267431,4026.3206,5378.9604,-7.9726338,442.32007,506.86572,-0.69136089,200,130,170,400,450,300,6.7270508
ADI-15619,950.52234,-1431.8301,1.3604805,4090.2651,5215.4614,-9.2818632,369.26642,717.76141,-3.8136597,320,130,200,450,240,430,5.4399414
ADI-15622,862.98523,-1383.3284,0.7760489,4050.5264,5548.0869,-4.3685246,465.12567,285.0213,0.18527922,200,100,160,330,290,380,7.6206055
ADI-15629,837.51373,-1586.3461,0.58281171,4025.9216,5469.7803,-4.2507086,200.99855,369.94272,1.3403063,300,110,200,440,360,200,8.1625977
ADI-15653,746.47595,-1342.9232,1.0693074,4005.6746,5620.8711,-4.3555918,99.076241,438.95566,6.2294598,150,120,90,370,530,250,9.1293945
ADI-15555,908.78229,-1541.8895,1.6586126,3907.0649,5689.4072,0.83604974,303.04462,692.98334,5.6576118,70,290,40,290,600,290,8.9682617
ADI-18897,834.81238,-1526.9888,0.63078177,4213.6001,5704.2993,-5.4975786,197.078,623.82977,-3.4886384,280,40,250,360,350,440,5.9985352
ADI-18876,727.77429,-1322.527,1.0081272,4190.8701,5639.897,-5.2163835,393.57458,375.1633,-2.3195312,270,230,180,380,480,250,5.3637695
ADI-18893,718.69159,-1573.5063,0.56998384,3900.1023,5471.8477,-7.7598572,338.51718,377.05148,-0.25979218,200,80,80,350,340,190,7.269043
ADI-18877,853.29395,-1552.5242,0.65071934,4238.6587,5647.4199,0.43162552,259.27094,310.81238,6.5928531,60,170,120,320,540,200,9.1586914
ADI-18925,769.75989,-1407.5072,0.70971513,3930.2815,5350.4561,0.1646809,237.10585,213.78021,2.5852988,310,40,120,530,330,250,8.7338867
ADI-18921,718.73712,-1319.0652,0.4024632,3989.45,5400.7578,-5.1252403,740.74457,196.80931,-1.3115191,270,60,370,470,420,510,5.871582
ADI-18910,817.43988,-1302.7727,1.7212725,4081.0598,6044.7983,-4.0702648,242.33984,417.22086,-1.5934652,400,190,170,600,430,420,5.8461914
ADI-18912,998.03027,-1544.3403,0.15178475,3834.3108,5528.6621,-5.2219725,476.75946,445.27451,1.2981118,220,140,80,410,290,220,7.7963867
ADI-18931,837.94171,-1593.5342,1.4783719,4334.1699,5630.6509,-0.5320096,366.65848,232.68631,3.9782484,350,200,200,500,410,320,8.4116211
ADI-18935,799.85297,-1545.1836,0.18255083,4093.6465,5415.1201,-0.6150412,152.52754,368.41711,5.784884,140,180,100,300,420,150,8.9975586
ADI-18949,992.62152,-1628.4159,0.54585445,4182.0767,5629.7612,-0.089171588,202.64946,424.40479,7.0923362,250,450,170,570,710,320,9.378418
ADI-18952,1005.2034,-1647.8383,0.90307456,3997.5256,5304.416,-5.8637238,415.77457,346.72507,5.5818796,170,240,90,230,360,240,8.777832
ADI-19004,877.1474,-1590.2615,1.0625317,4140.0645,5520.8105,-4.3679504,311.30206,440.25055,2.8727887,120,150,60,300,360,240,7.8842773
ADI-19017,824.1095,-1284.3201,0.25523397,4156.4995,5544.4355,-5.3508978,277.22781,263.76718,-2.494158,250,160,200,450,300,380,4.9321289
ADI-19005,754.57501,-1278.219,1.0488856,3868.3696,5712.6968,0.85528165,151.89732,263.39691,4.5957179,220,50,40,310,490,140,9.0708008
ADI-19010,892.9082,-1472.2021,0.89916295,4013.3428,5556.3877,-8.5773935,407.80295,499.34708,-1.5835178,60,0,90,120,170,230,5.7192383
ADI-18992,876.41498,-1451.722,0.83493328,4104.0645,5495.8345,-6.8625293,238.67857,253.04753,3.0218399,200,50,210,280,290,350,8.0161133
ADI-18966,765.43817,-1775.4669,0.37962478,4401.3564,5721.1279,0.30785674,373.18201,549.05737,5.7880435,300,140,160,430,470,250,8.9243164
ADI-18968,957.5271,-1448.5996,0.84922737,3953.1443,5657.5142,-3.525713,274.46344,219.52023,-0.32143557,380,90,260,480,310,330,6.315918
ADI-18998,886.08978,-1131.2565,0.4171252,4063.3201,5793.1514,-8.1306887,556.89783,456.71399,-8.0639734,270,140,330,450,350,590,4.6020508
ADI-19001,1022.4489,-1596.1013,0.68594533,4173.9712,5329.0601,-6.8031979,657.28497,620.26312,1.44227,200,220,200,410,470,290,7.9428711
ADI-15744,921.29181,-1566.2017,1.5494968,4276.2461,5581.8003,-5.9399157,101.91098,560.28613,2.7558892,280,230,240,440,530,510,8.2358398
ADI-15750,758.14929,-1556.1987,0.20883474,4108.6289,5598.397,-6.0013118,530.23877,399.07281,3.1756678,200,110,140,200,470,380,8.309082
ADI-15967,917.43658,-1635.5377,0.92363828,4086.5203,5912.1001,-6.0770006,138.76132,522.28461,3.7534389,290,120,160,500,400,250,8.6899414
ADI-15986,921.69232,-1468.5892,0.53177512,3677.4153,5581.2114,-5.8855567,268.72952,538.42426,2.0296433,230,110,60,400,290,150,7.7817383
ADI-15936,921.88525,-1611.3438,0.90448421,4073.0022,5669.0151,1.7298549,189.62032,455.58273,6.5783777,160,250,110,360,500,190,9.5541992
ADI-15942,934.96075,-1414.7612,0.63079566,3799.2034,5665.0806,-9.6980171,577.11414,466.28046,0.046552271,250,150,130,370,460,180,7.4887695
ADI-15947,909.6076,-1412.7703,1.0445712,4413.1763,5233.8408,2.9549696,440.46259,559.22156,5.2218709,50,360,50,340,540,300,8.8217773
ADI-15828,899.26581,-1516.58,1.8306855,3968.0073,5740.2471,-5.2145581,296.93875,459.72549,0.2240231,440,0,120,680,200,200,7.605957
ADI-15850,871.34125,-1516.1354,1.1714488,4436.3574,5257.792,-0.34857756,593.46515,427.05588,0.072387017,200,260,140,450,540,330,7.5180664
ADI-15853,801.01978,-1394.8724,0.55717134,3990.6714,5823.7368,-2.7844074,454.27203,439.70279,-0.51049006,340,220,200,390,410,330,6.5073242
ADI-15861,899.66858,-1408.9604,0.54583645,4015.8997,5446.1631,0.88256902,223.19548,524.70667,3.9225774,150,340,40,350,550,230,8.675293
ADI-15898,866.43854,-1560.8776,0.2773931,4323.4658,5943.9297,-2.7651095,199.87192,371.29456,4.8454556,70,200,240,400,540,280,8.6459961
ADI-16044,812.97101,-1406.8921,2.4119842,4017.7312,5975.0249,1.422205,276.45551,798.48138,5.6685734,520,210,60,780,510,250,9.2612305
ADI-16040,858.77679,-1334.3665,1.2591805,4381.668,5690.9985,0.15780243,19.797968,243.80269,3.7403901,250,150,40,350,530,170,8.7045898
ADI-16041,911.95654,-1164.771,0.96038878,3871.7913,5766.2646,-2.0861475,163.12491,375.01141,-1.2088019,290,100,40,460,370,280,6.9614258
ADI-16049,852.52301,-1319.9178,0.5039683,4126.9458,5691.5864,-5.6654277,381.5994,346.14218,1.3285922,180,90,190,270,350,400,7.7524414
ADI-16058,797.75916,-1566.5017,1.1313753,4073.0796,5464.4082,0.089601047,178.22343,190.12851,3.6942627,300,130,150,520,410,390,8.7338867
ADI-24235,1030.2533,-1296.941,1.3999194,4223.5332,5277.895,-5.6939316,202.47285,347.67313,2.1077185,170,170,110,250,360,270,8.1918945
ADI-24230,826.39801,-1536.6946,1.3589296,4049.8054,5489.2847,0.86126202,166.88802,68.550095,-2.7726302,360,40,210,460,230,620,6.4174805
ADI-24215,691.23871,-1406.2576,1.9284145,4234.6777,5985.9219,0.091794468,266.12982,418.43405,3.7343981,300,180,180,490,350,310,8.777832
ADI-24199,775.72601,-1680.7112,1.1638395,4396.8281,5290.9111,-0.15178353,385.09204,390.67209,3.5840871,170,80,110,300,440,280,8.9975586
ADI-24210,833.52148,-1507.1188,1.2662052,4013.3411,5312.4106,0.75564736,91.899628,390.12473,4.5776572,50,170,190,410,500,300,9.2026367
ADI-24205,797.45111,-1564.4502,1.1345333,4086.1306,5391.8188,0.68271142,354.98825,437.62549,0.33433071,130,270,90,320,520,380,7.8110352
ADI-24192,894.12439,-1669.6305,0.97530675,4176.6919,5325.4658,-0.11503527,69.852463,356.51724,2.4181783,280,240,100,590,550,200,8.3676758
ADI-24207,722.04309,-1626.8066,1.1107951,4206.0864,5408.4546,0.22379091,431.06802,509.896,0.17791268,240,170,140,540,510,400,7.6938477
ADI-24267,801.61865,-1707.4858,0.92042327,4118.0513,5147.5283,0.036360119,282.37299,420.87445,1.2062389,70,380,250,240,530,440,7.8549805
ADI-24274,867.74829,-1698.0238,0.55251116,4403.9331,5562.6299,0.58154833,147.64648,263.30692,4.8032498,200,320,200,370,580,340,8.7924805
ADI-24308,812.99573,-1553.2577,1.1496197,4069.9158,5592.4224,-3.4327078,579.30658,710.70331,-1.3625278,170,90,90,370,160,240,6.1000977
ADI-24333,845.44788,-1393.3363,0.64073217,3789.1753,6116.7256,0.32674411,348.42548,296.97525,4.2105641,170,110,0,390,370,110,8.777832
ADI-24332,951.26141,-1681.9611,1.2571075,4114.6841,5146.688,-2.5322139,249.40352,433.18073,-0.025833238,130,110,80,470,380,230,7.3569336
ADI-24355,799.28497,-1521.859,0.4463509,3899.02,5603.4731,-5.1178308,403.36914,83.233749,-4.3674726,150,210,200,410,510,450,4.6274414
ADI-24375,773.01477,-1522.4536,0.72890192,4209.8159,5286.8589,-4.0121713,508.75391,369.12781,2.1402657,0,200,190,250,590,270,8.1479492
ADI-37123,634.65247,-1371.2937,1.1066798,4238.7173,5423.9438,1.5132151,168.94749,295.52237,8.3951359,60,260,130,330,620,270,9.949707
ADI-54491,872.80713,-1343.4937,0.3819133,4060.5454,5700.4082,-4.0685439,662.57202,483.34833,3.0817089,230,200,190,340,390,310,8.5288086
ADI-45400,871.10052,-1472.4125,0.64256281,4346.0645,5289.1099,-5.9511456,496.0386,316.81079,2.2297304,90,90,110,90,290,300,7.9428711
ADI-45365,1017.4524,-1659.5801,0.40213239,4188.4307,5837.5889,-0.70977706,222.83885,382.33655,-2.1424799,270,90,240,550,250,320,6.6977539
ADI-45366,683.2262,-1028.1265,0.57094115,4160.2915,5053.5566,-3.4768677,347.18457,415.23398,-0.37731522,120,50,40,190,320,230,7.034668
ADI-45476,918.34723,-1299.8143,0.76245922,4093.4099,5152.5049,-5.0788364,198.12029,246.06677,2.2539196,220,110,0,470,290,160,7.737793
ADI-45407,858.84155,-1373.9861,0.43407249,4242.291,5659.1885,-3.453475,360.90414,310.48318,3.6766307,270,180,40,430,380,200,8.6020508
ADI-45411,774.06219,-1525.1985,0.91497469,4187.8281,5237.8989,-3.9096804,424.47668,579.33539,-0.19243182,150,110,130,410,230,270,7.2543945
ADI-45461,842.32629,-1693.5945,0.33480093,4363.2119,5912.6304,0.78590429,602.1015,484.27802,3.4933791,260,220,170,560,580,410,8.2504883
ADI-45459,888.75397,-1475.2921,1.3230233,4014.6538,5233.6108,-6.6146317,401.88666,379.12646,3.4239821,180,100,200,270,260,310,8.3969727
ADI-45469,845.58563,-1289.8094,0.50151545,3876.0808,5634.1318,-6.6457744,359.72198,242.01799,3.5055368,110,140,60,190,390,250,8.2944336
ADI-54492,721.77643,-1550.1267,1.5239372,4217.9326,5358.1777,0.38193646,141.33229,558.27631,-1.8380541,80,150,200,370,420,460,6.3666992
